t,S_mean,S_sd,I_mean,I_sd,R_mean,R_sd,S_ode,I_ode,R_ode
0,0.99,0.0,0.009999999999999998,1.828559098217032e-18,0.0,0.0,0.99,0.01,0.0
1,0.975,0.0047375568011839685,0.024,0.004618802153517007,0.001,0.0010540925533894599,0.9867232295490118,0.012171650703317043,0.0011051197476711354
2,0.9478,0.011013123484683543,0.049999999999999996,0.01045625809423875,0.0021999999999999997,0.0019888578520235066,0.9827516436909064,0.014798853978826168,0.0024495023302673643
3,0.9128000000000001,0.013766303465749672,0.08080000000000001,0.012550343067466762,0.0064,0.004087922591134905,0.9779474838287081,0.017969525599057255,0.004082990572234523
4,0.8684,0.016378848148348748,0.11759999999999997,0.013914021704740872,0.013999999999999999,0.004618802153517006,0.9721501736436603,0.021784943013798817,0.006064883342540753
5,0.812,0.025508168626278624,0.16299999999999998,0.023233118124302163,0.025,0.00976387901058454,0.9651746563786638,0.026360054867627988,0.008465288753708044
6,0.7424000000000001,0.04434009973426362,0.215,0.03691732505056249,0.0426,0.010373041983911953,0.9568106599227557,0.0318228670940476,0.011366472983196504
7,0.6498,0.06937466716636877,0.2874,0.062290002764845386,0.0628,0.014366627996854377,0.9468235092801077,0.03831241188238426,0.014864078837507825
8,0.544,0.08959166627910581,0.36719999999999997,0.07343750177304963,0.08879999999999999,0.02146211131790678,0.9349572498232082,0.0459747043517425,0.01906804582504923
9,0.4304,0.09825952031906798,0.4478,0.07945620736537135,0.12179999999999999,0.026186510522277176,0.9209409785303574,0.0549560242434803,0.024102997226162153
10,0.3154,0.09621295824021489,0.5213999999999999,0.07263944444231997,0.16319999999999998,0.03256719549212401,0.9044993238150804,0.0653928818147616,0.030107794370157887
11,0.21859999999999996,0.08471153666676366,0.5681999999999999,0.059265504300562565,0.21319999999999997,0.03560524305960197,0.8853678691473664,0.07739822782114157,0.03723390303149192
12,0.13620000000000002,0.0721137989569264,0.5998,0.0440651033509889,0.26399999999999996,0.04028785314596834,0.863313917165887,0.09104389492493434,0.04564218790917852
