t,S_mean,S_sd,I_mean,I_sd,R_mean,R_sd,S_ode,I_ode,R_ode
0,0.99,0.0,0.009999999999999998,1.828559098217032e-18,0.0,0.0,0.99,0.01,0.0
1,0.9772000000000001,0.0062680849458896905,0.021599999999999998,0.006380525927469545,0.0012000000000000001,0.0013984117975602021,0.9867232295490118,0.012171650703317043,0.0011051197476711354
2,0.9478,0.013314987378472738,0.048799999999999996,0.013830722645215933,0.0034000000000000002,0.002118699810942761,0.9827516436909064,0.014798853978826168,0.0024495023302673643
3,0.8988000000000002,0.022670587896116777,0.09319999999999999,0.022374588760963234,0.008000000000000002,0.0024944382578492943,0.9779474838287081,0.017969525599057255,0.004082990572234523
4,0.8088000000000001,0.03880664318844848,0.17659999999999998,0.03774828914445439,0.014599999999999998,0.004325634186002222,0.9721501736436603,0.021784943013798817,0.006064883342540753
5,0.6728,0.05596189179551861,0.2972,0.049970658057170575,0.03,0.008110350040397625,0.9651746563786638,0.026360054867627988,0.008465288753708044
6,0.491,0.07381207368867386,0.4502,0.061322100420647695,0.058800000000000005,0.014883249346534216,0.9568106599227557,0.0318228670940476,0.011366472983196504
7,0.306,0.08213809510006101,0.5956,0.06773674532088672,0.09839999999999999,0.01763330182731905,0.9468235092801077,0.03831241188238426,0.014864078837507825
8,0.15180000000000002,0.06317840700042311,0.6926,0.04234304350579126,0.15559999999999996,0.025816446093312084,0.9349572498232082,0.0459747043517425,0.01906804582504923
9,0.06500000000000002,0.02992212113693368,0.7134,0.017988885457415105,0.22160000000000002,0.03287417088096842,0.9209409785303574,0.0549560242434803,0.024102997226162153
10,0.024599999999999997,0.014423745853433652,0.6804,0.02786953733220395,0.29500000000000004,0.03792683013968404,0.9044993238150804,0.0653928818147616,0.030107794370157887
11,0.0094,0.006801960501698511,0.6386000000000001,0.03251051112076422,0.352,0.037082490627129025,0.8853678691473664,0.07739822782114157,0.03723390303149192
12,0.0048000000000000004,0.004732863826479692,0.5818,0.029761272374233805,0.41340000000000005,0.03141195809100591,0.863313917165887,0.09104389492493434,0.04564218790917852
13,0.0024000000000000002,0.0030983866769659332,0.53,0.03439638223870514,0.4676,0.03470254553583449,0.8381621406621997,0.10634006753189815,0.05549779180590199
14,0.0018000000000000002,0.0025733678754158375,0.4828,0.03716868454910816,0.5154000000000001,0.03751207213092282,0.8098234498243881,0.12321365903311185,0.0669628911424999
15,0.001,0.001414213562373095,0.43740000000000007,0.036999099088130954,0.5616,0.03723558632395745,0.7783239564682268,0.14148867559474076,0.08018736793703228
16,0.0006000000000000001,0.0009660917830792958,0.3996,0.03741419813683333,0.5998,0.03736248861566311,0.7438294113429358,0.1608728453100368,0.0952977433470273
17,0.0004,0.0008432740427115679,0.36319999999999997,0.03778535871648346,0.6364,0.037721788575481606,0.7066594865683461,0.1809551865275786,0.11238532690407506
18,0.0004,0.0008432740427115679,0.32399999999999995,0.030550504633038926,0.6756,0.030474761871278174,0.6672870459689833,0.20121807578421402,0.13149487824680256
19,0.0004,0.0008432740427115679,0.29579999999999995,0.028118005303047765,0.7037999999999999,0.027943593978664288,0.6263187905014752,0.22106605349646732,0.15261515600205727
