t,S_mean,S_sd,I_mean,I_sd,R_mean,R_sd,S_ode,I_ode,R_ode
0,0.99,0.0,0.009999999999999998,1.828559098217032e-18,0.0,0.0,0.99,0.01,0.0
1,0.9747999999999999,0.0034253953543107044,0.023799999999999998,0.003705851229249945,0.0014,0.0016465452046971292,0.9867232295490118,0.012171650703317043,0.0011051197476711354
2,0.9418,0.008189424074174338,0.054000000000000006,0.008537498983243798,0.0042,0.0022010098692292236,0.9827516436909064,0.014798853978826168,0.0024495023302673643
3,0.8780000000000001,0.01523154621172783,0.11100000000000002,0.013274871834493253,0.011000000000000001,0.004136557881996952,0.9779474838287081,0.017969525599057255,0.004082990572234523
4,0.7612000000000001,0.029184470756437143,0.21739999999999998,0.02803252079678569,0.021400000000000002,0.007121173436387511,0.9721501736436603,0.021784943013798817,0.006064883342540753
5,0.5852000000000002,0.05158121966590381,0.374,0.04949522984872156,0.04079999999999999,0.0073151289196507745,0.9651746563786638,0.026360054867627988,0.008465288753708044
6,0.3718,0.0573833115500007,0.5509999999999999,0.052453153702454645,0.0772,0.013036700332352337,0.9568106599227557,0.0318228670940476,0.011366472983196504
7,0.19199999999999998,0.0459274790657329,0.6768000000000001,0.03872639065719051,0.1312,0.01520818493078279,0.9468235092801077,0.03831241188238426,0.014864078837507825
8,0.07680000000000001,0.02907767375687249,0.7311999999999999,0.019623115620784264,0.192,0.025438378704451887,0.9349572498232082,0.0459747043517425,0.01906804582504923
9,0.033800000000000004,0.013806600675844225,0.7096,0.021639470110579578,0.25660000000000005,0.02913646054916988,0.9209409785303574,0.0549560242434803,0.024102997226162153
10,0.014800000000000002,0.0064083279150388885,0.6596,0.024051795959738408,0.3256,0.026175476224045202,0.9044993238150804,0.0653928818147616,0.030107794370157887
11,0.008799999999999999,0.006408327915038888,0.6048,0.023136311047547962,0.38639999999999997,0.0251360741211157,0.8853678691473664,0.07739822782114157,0.03723390303149192
12,0.004200000000000001,0.0027406406388125956,0.5498000000000001,0.028774216853905063,0.446,0.029484459183327975,0.863313917165887,0.09104389492493434,0.04564218790917852
13,0.0026,0.002503331114069145,0.4952,0.025476786819900718,0.5022,0.02453931086599171,0.8381621406621997,0.10634006753189815,0.05549779180590199
14,0.0021999999999999997,0.002573367875415838,0.4532000000000001,0.025090060006128137,0.5446000000000001,0.02345776346258666,0.8098234498243881,0.12321365903311185,0.0669628911424999
15,0.0018000000000000002,0.001988857852023506,0.4104,0.026445751601680327,0.5878,0.02502354446871539,0.7783239564682268,0.14148867559474076,0.08018736793703228
16,0.0014,0.0018973665961010276,0.37,0.026516242401801796,0.6285999999999998,0.025140494116950955,0.7438294113429358,0.1608728453100368,0.0952977433470273
17,0.0014,0.0018973665961010276,0.33399999999999996,0.02580266997381817,0.6646,0.02442312201355282,0.7066594865683461,0.1809551865275786,0.11238532690407506
18,0.0014,0.0018973665961010276,0.303,0.023874672772626653,0.6956,0.02238650387076004,0.6672870459689833,0.20121807578421402,0.13149487824680256
19,0.0012000000000000001,0.0016865480854231355,0.2748,0.01569713349627886,0.724,0.014360439485692024,0.6263187905014752,0.22106605349646732,0.15261515600205727
20,0.001,0.001414213562373095,0.24939999999999998,0.015493367756703017,0.7495999999999999,0.014135848832745155,0.5844581629118424,0.23986860701948723,0.17567323006867033
21,0.001,0.001414213562373095,0.2274,0.01350061726983869,0.7716000000000001,0.012249263016379585,0.5424546452530311,0.2570118693163597,0.20053348543060914
22,0.0008,0.0010327955589886446,0.20459999999999998,0.01363166248930123,0.7946,0.012963195765105328,0.5010465007710811,0.27195148860403534,0.22700201062488343
23,0.0008,0.0010327955589886446,0.1838,0.014374359889129749,0.8154,0.013922004964164505,0.46090756382278175,0.28425662799249923,0.254835808184719
24,0.0008,0.0010327955589886446,0.16919999999999996,0.011083521301664215,0.8299999999999998,0.010666666666666652,0.4226048907602156,0.29363935233416816,0.28375575690561616
25,0.0008,0.0010327955589886446,0.15019999999999997,0.016342174477916534,0.849,0.015979153085609193,0.386572737180603,0.299965630981728,0.31346163183766895
26,0.0008,0.0010327955589886446,0.1366,0.018644033898274265,0.8625999999999999,0.018452341013781678,0.3531041481960026,0.3032485610111903,0.34364729079280704
27,0.0008,0.0010327955589886446,0.1234,0.019091592099374242,0.8758000000000001,0.019007600818853745,0.3223576327421702,0.3036279224015264,0.3740144448563033
28,0.0008,0.0010327955589886446,0.11300000000000002,0.017365355036841473,0.8862,0.017421570282586805,0.29437462681292026,0.3013414324317153,0.4042839407553644
29,0.0008,0.0010327955589886446,0.10200000000000001,0.016302692347516648,0.8972000000000001,0.016443843832875588,0.26910267404519267,0.29669335036712496,0.4342039755876823
30,0.0008,0.0010327955589886446,0.09339999999999998,0.013664227424597084,0.9058000000000002,0.013870832707519775,0.2464204565964422,0.2900243143260857,0.46355522907747204
31,0.0008,0.0010327955589886446,0.08439999999999999,0.012285492799775404,0.9148,0.012407882799073976,0.2261605926839768,0.2816861984252393,0.49215320889078384
32,0.0008,0.0010327955589886446,0.077,0.011935009193312106,0.9221999999999998,0.012016655108639833,0.20812939550122378,0.2720222979369229,0.5198483065618533
33,0.0008,0.0010327955589886446,0.0708,0.009897249898611002,0.9283999999999999,0.009968840342676625,0.19212233180787386,0.2613534631881232,0.546524205004003
34,0.0008,0.0010327955589886446,0.06420000000000001,0.008189424074174365,0.9350000000000002,0.008178562764256825,0.17793517539775405,0.2499696206913558,0.5720952039108902
35,0.0008,0.0010327955589886446,0.05740000000000001,0.007662317607037123,0.9418,0.007857056276579216,0.16537182560168742,0.23812534709370434,0.5965028273046084
36,0.0008,0.0010327955589886446,0.0506,0.00816768701108895,0.9486000000000001,0.008167687011088927,0.1542490036150445,0.22603876170686266,0.6197122346780929
37,0.0008,0.0010327955589886446,0.04619999999999999,0.007146094504459527,0.9529999999999997,0.007071067811865481,0.14439881453893214,0.21389255811064642,0.6417086273504214
38,0.0008,0.0010327955589886446,0.0392,0.0064773108274619315,0.96,0.006666666666666672,0.13566974002106044,0.20183647267234459,0.662493787306595
39,0.0008,0.0010327955589886446,0.0364,0.006586180818788515,0.9628,0.006811754546370567,0.12792651831813864,0.1899905276215067,0.6820829540603547
40,0.0008,0.0010327955589886446,0.033,0.006200358412579425,0.9662,0.006562519841239853,0.12104940306450108,0.17844854756693437,0.7005020493685645
41,0.0008,0.0010327955589886446,0.0308,0.00482585628556103,0.9683999999999999,0.00514673575083168,0.1149329956183991,0.16728180881348248,0.7177851955681185
42,0.0008,0.0010327955589886446,0.027599999999999996,0.005059644256269406,0.9715999999999999,0.005399588461684428,0.10948492500560439,0.15654240250433332,0.7339726724900624
43,0.0008,0.0010327955589886446,0.026000000000000002,0.005811865258054232,0.9732,0.0060516297162187885,0.10462447309350942,0.14626638784215398,0.7491091390643367
44,0.0008,0.0010327955589886446,0.023399999999999997,0.00632806798671162,0.9757999999999999,0.006562519841239852,0.10028121219363946,0.1364766175337113,0.7632421702726494
