t,S_mean,S_sd,I_mean,I_sd,R_mean,R_sd,S_ode,I_ode,R_ode
0,0.99,0.0,0.009999999999999998,1.828559098217032e-18,0.0,0.0,0.99,0.01,0.0
1,0.9774,0.0041150131632029276,0.021599999999999998,0.003747591819348052,0.001,0.001414213562373095,0.9867232295490118,0.012171650703317043,0.0011051197476711354
2,0.953,0.007133644853010906,0.0452,0.007671013260609346,0.0018000000000000002,0.0025733678754158375,0.9827516436909064,0.014798853978826168,0.0024495023302673643
3,0.9016000000000002,0.019861744356649284,0.0924,0.02126656217320201,0.006,0.00282842712474619,0.9779474838287081,0.017969525599057255,0.004082990572234523
4,0.8022,0.04511171318700572,0.18439999999999995,0.042695823371066796,0.0134,0.006736302975503533,0.9721501736436603,0.021784943013798817,0.006064883342540753
5,0.6500000000000001,0.059710412268994886,0.3174,0.05469145779329307,0.032600000000000004,0.010068653225619492,0.9651746563786638,0.026360054867627988,0.008465288753708044
6,0.4478,0.07672432614381325,0.4922000000000001,0.06710158136901263,0.06,0.012788884062167251,0.9568106599227557,0.0318228670940476,0.011366472983196504
7,0.2454,0.07023168009444804,0.647,0.055898717934015865,0.1076,0.01626994502483371,0.9468235092801077,0.03831241188238426,0.014864078837507825
8,0.11299999999999999,0.040301640440833446,0.718,0.029604804414899363,0.16899999999999998,0.023252240035460385,0.9349572498232082,0.0459747043517425,0.01906804582504923
9,0.0452,0.01649781130264793,0.7242000000000001,0.02173476477903547,0.23059999999999997,0.029075380956709373,0.9209409785303574,0.0549560242434803,0.024102997226162153
10,0.0176,0.008579044235810887,0.6836,0.02174192059389211,0.29880000000000007,0.02747443255909837,0.9044993238150804,0.0653928818147616,0.030107794370157887
11,0.008000000000000002,0.003999999999999999,0.6256,0.028748719778259525,0.3664,0.03080836827155174,0.8853678691473664,0.07739822782114157,0.03723390303149192
12,0.003,0.0025385910352879694,0.5704,0.023509808827617235,0.4266,0.02311420919405781,0.863313917165887,0.09104389492493434,0.04564218790917852
13,0.0020000000000000005,0.0018856180831641268,0.511,0.022375581929117903,0.48699999999999993,0.022295988677587524,0.8381621406621997,0.10634006753189815,0.05549779180590199
14,0.0014,0.0013498971154211057,0.4670000000000001,0.021317702607092637,0.5316000000000002,0.021140797840510515,0.8098234498243881,0.12321365903311185,0.0669628911424999
15,0.001,0.0010540925533894599,0.4236000000000001,0.024815765598147927,0.5754,0.024694578802284137,0.7783239564682268,0.14148867559474076,0.08018736793703228
16,0.0008,0.0010327955589886446,0.38560000000000005,0.02786953733220398,0.6135999999999999,0.02778968633624115,0.7438294113429358,0.1608728453100368,0.0952977433470273
17,0.0006000000000000001,0.0009660917830792958,0.34840000000000004,0.03003405474531277,0.651,0.02968351581452424,0.7066594865683461,0.1809551865275786,0.11238532690407506
18,0.0006000000000000001,0.0009660917830792958,0.3174,0.028347839423843214,0.6820000000000002,0.027904599381941775,0.6672870459689833,0.20121807578421402,0.13149487824680256
19,0.0006000000000000001,0.0009660917830792958,0.28500000000000003,0.024608038433722335,0.7143999999999999,0.0240887248866906,0.6263187905014752,0.22106605349646732,0.15261515600205727
20,0.0006000000000000001,0.0009660917830792958,0.258,0.02063438338738954,0.7414000000000001,0.0203316939229809,0.5844581629118424,0.23986860701948723,0.17567323006867033
21,0.0006000000000000001,0.0009660917830792958,0.23020000000000002,0.018195237472115242,0.7692,0.017893512169995532,0.5424546452530311,0.2570118693163597,0.20053348543060914
22,0.0006000000000000001,0.0009660917830792958,0.2112,0.017592927872048796,0.7882,0.017396040417929075,0.5010465007710811,0.27195148860403534,0.22700201062488343
23,0.0006000000000000001,0.0009660917830792958,0.19099999999999998,0.01535505707504136,0.8084,0.015196490822993711,0.46090756382278175,0.28425662799249923,0.254835808184719
24,0.0006000000000000001,0.0009660917830792958,0.17459999999999995,0.013566298111291984,0.8248,0.013339998334166143,0.4226048907602156,0.29363935233416816,0.28375575690561616
25,0.0006000000000000001,0.0009660917830792958,0.15639999999999998,0.01391402170474087,0.843,0.013864422895390293,0.386572737180603,0.299965630981728,0.31346163183766895
26,0.0006000000000000001,0.0009660917830792958,0.143,0.01603468462774092,0.8564,0.016022206811519803,0.3531041481960026,0.3032485610111903,0.34364729079280704
27,0.0006000000000000001,0.0009660917830792958,0.13079999999999997,0.018790068298616333,0.8686,0.018715412543320206,0.3223576327421702,0.3036279224015264,0.3740144448563033
28,0.0006000000000000001,0.0009660917830792958,0.1182,0.01737047303136369,0.8812,0.01731280836067141,0.29437462681292026,0.3013414324317153,0.4042839407553644
29,0.0006000000000000001,0.0009660917830792958,0.10719999999999999,0.015526321736543619,0.8921999999999999,0.015504837954651457,0.26910267404519267,0.29669335036712496,0.4342039755876823
30,0.0006000000000000001,0.0009660917830792958,0.09719999999999998,0.015031818105457357,0.9022,0.014950287994253204,0.2464204565964422,0.2900243143260857,0.46355522907747204
31,0.0006000000000000001,0.0009660917830792958,0.088,0.013824294235551815,0.9113999999999999,0.013631662489301243,0.2261605926839768,0.2816861984252393,0.49215320889078384
32,0.0006000000000000001,0.0009660917830792958,0.0804,0.014041209191360818,0.9189999999999999,0.01399206124121023,0.20812939550122378,0.2720222979369229,0.5198483065618533
33,0.0006000000000000001,0.0009660917830792958,0.0742,0.014124840215418759,0.9252,0.014148419621207777,0.19212233180787386,0.2613534631881232,0.546524205004003
34,0.0006000000000000001,0.0009660917830792958,0.06739999999999999,0.014576998624164334,0.9319999999999998,0.014575474072716933,0.17793517539775405,0.2499696206913558,0.5720952039108902
35,0.0006000000000000001,0.0009660917830792958,0.05940000000000001,0.013099618315050252,0.9400000000000001,0.012995725793078587,0.16537182560168742,0.23812534709370434,0.5965028273046084
36,0.0006000000000000001,0.0009660917830792958,0.0548,0.012479316220584095,0.9446,0.01236662174295522,0.1542490036150445,0.22603876170686266,0.6197122346780929
37,0.0006000000000000001,0.0009660917830792958,0.0506,0.01233063033443321,0.9488000000000001,0.012154560186750188,0.14439881453893214,0.21389255811064642,0.6417086273504214
38,0.0006000000000000001,0.0009660917830792958,0.0466,0.010627009613872255,0.9527999999999999,0.010507140429250947,0.13566974002106044,0.20183647267234459,0.662493787306595
39,0.0006000000000000001,0.0009660917830792958,0.041,0.010635370755695877,0.9583999999999999,0.010616548926610347,0.12792651831813864,0.1899905276215067,0.6820829540603547
