t,S_mean,S_sd,I_mean,I_sd,R_mean,R_sd,S_ode,I_ode,R_ode
0,0.99,0.0,0.009999999999999998,1.828559098217032e-18,0.0,0.0,0.99,0.01,0.0
1,0.9753999999999999,0.00673630297550354,0.0242,0.00662989860824097,0.0004,0.0008432740427115679,0.9867232295490118,0.012171650703317043,0.0011051197476711354
2,0.9468000000000002,0.015002222057637528,0.05139999999999999,0.013533497535949662,0.0018000000000000002,0.0022010098692292236,0.9827516436909064,0.014798853978826168,0.0024495023302673643
3,0.897,0.023556079658739692,0.097,0.021812330865310516,0.006000000000000001,0.0035276684147527875,0.9779474838287081,0.017969525599057255,0.004082990572234523
4,0.8192,0.04372845501247188,0.16640000000000002,0.0420666138404317,0.014400000000000001,0.006586180818788517,0.9721501736436603,0.021784943013798817,0.006064883342540753
5,0.6984,0.06888831540979937,0.272,0.06512893195637234,0.029600000000000005,0.00883427667918797,0.9651746563786638,0.026360054867627988,0.008465288753708044
6,0.5424,0.09943752924435634,0.4039999999999999,0.09408270593236334,0.053599999999999995,0.011345091939297414,0.9568106599227557,0.0318228670940476,0.011366472983196504
7,0.37340000000000007,0.10818523209960056,0.533,0.0963523625957235,0.09359999999999999,0.012885823390239541,0.9468235092801077,0.03831241188238426,0.014864078837507825
8,0.221,0.08734223873170797,0.6388,0.06633383584399274,0.1402,0.02574144949730341,0.9349572498232082,0.0459747043517425,0.01906804582504923
9,0.11120000000000001,0.056065041593571376,0.6866,0.037023115902245586,0.2022,0.032241450201737375,0.9209409785303574,0.0549560242434803,0.024102997226162153
10,0.048600000000000004,0.028721652691538025,0.6818,0.024229458654015892,0.26959999999999995,0.03724752042455682,0.9044993238150804,0.0653928818147616,0.030107794370157887
11,0.02,0.008993825042154695,0.6442000000000001,0.03689564864437116,0.3358,0.042294733057964135,0.8853678691473664,0.07739822782114157,0.03723390303149192
12,0.0084,0.0046951511631090695,0.5934,0.035715542835017926,0.3982,0.03634953767090978,0.863313917165887,0.09104389492493434,0.04564218790917852
13,0.0044,0.0032386554137309653,0.5404,0.03843378143711019,0.45519999999999994,0.03864597147324818,0.8381621406621997,0.10634006753189815,0.05549779180590199
14,0.0024000000000000002,0.0027968235951204043,0.4878,0.03286943869310823,0.5098,0.032158634575767966,0.8098234498243881,0.12321365903311185,0.0669628911424999
15,0.0014,0.0026749870196985173,0.44220000000000004,0.033907717902172854,0.5564,0.03330398708196295,0.7783239564682268,0.14148867559474076,0.08018736793703228
16,0.001,0.0025385910352879694,0.4034,0.032592432659540274,0.5955999999999999,0.032670748044355796,0.7438294113429358,0.1608728453100368,0.0952977433470273
