t,S_mean,S_sd,I_mean,I_sd,R_mean,R_sd,S_ode,I_ode,R_ode
0,0.99,0.0,0.009999999999999998,1.828559098217032e-18,0.0,0.0,0.99,0.01,0.0
1,0.9748000000000001,0.005750362307426091,0.024799999999999996,0.005593647190240808,0.0004,0.0008432740427115679,0.9867232295490118,0.012171650703317043,0.0011051197476711354
2,0.9470000000000001,0.009201449161228144,0.049199999999999994,0.008651268372004446,0.0038000000000000004,0.0028982753492378882,0.9827516436909064,0.014798853978826168,0.0024495023302673643
3,0.9112000000000002,0.015640403518522875,0.08099999999999999,0.0166065582761082,0.007800000000000001,0.004366539438350084,0.9779474838287081,0.017969525599057255,0.004082990572234523
4,0.8714000000000001,0.021355197129608643,0.1142,0.021508654588844513,0.014400000000000001,0.004402019738458447,0.9721501736436603,0.021784943013798817,0.006064883342540753
5,0.8194000000000001,0.031986802834224524,0.15339999999999998,0.03285050312484659,0.027200000000000002,0.008702490065109718,0.9651746563786638,0.026360054867627988,0.008465288753708044
6,0.7565999999999999,0.04536322543891937,0.19979999999999998,0.04288952215997646,0.043599999999999986,0.005719362823873924,0.9568106599227557,0.0318228670940476,0.011366472983196504
7,0.688,0.05438954147832304,0.2528,0.04947906403498128,0.05920000000000001,0.007728734264634367,0.9468235092801077,0.03831241188238426,0.014864078837507825
8,0.6136,0.05850584016432319,0.3045999999999999,0.04662903244403283,0.08179999999999998,0.014770842148563425,0.9349572498232082,0.0459747043517425,0.01906804582504923
9,0.5316000000000001,0.07096039584005842,0.35579999999999995,0.055963877238407594,0.11259999999999999,0.019664971678370426,0.9209409785303574,0.0549560242434803,0.024102997226162153
10,0.4446,0.07918501541748077,0.4144,0.05934307036209029,0.14099999999999996,0.026318561257535844,0.9044993238150804,0.0653928818147616,0.030107794370157887
11,0.35059999999999997,0.08946780923264461,0.471,0.06861324782997653,0.17839999999999998,0.029959973297718406,0.8853678691473664,0.07739822782114157,0.03723390303149192
12,0.2714,0.10211997301649119,0.5066,0.07359981884035675,0.22199999999999998,0.03709447398198282,0.863313917165887,0.09104389492493434,0.04564218790917852
13,0.19659999999999994,0.09733812773580099,0.5392,0.06470583006533835,0.2642,0.04273380134949123,0.8381621406621997,0.10634006753189815,0.05549779180590199
14,0.135,0.08722002828097071,0.552,0.04853406592853679,0.313,0.04975718820208571,0.8098234498243881,0.12321365903311185,0.0669628911424999
15,0.08579999999999999,0.06887315232448063,0.5482,0.03392082284117266,0.366,0.055585769561802216,0.7783239564682268,0.14148867559474076,0.08018736793703228
16,0.05620000000000001,0.054245941988523186,0.5212,0.025857730415143235,0.4226,0.05428361733627478,0.7438294113429358,0.1608728453100368,0.0952977433470273
17,0.0354,0.041430530878675556,0.49399999999999994,0.023944379994757296,0.47059999999999985,0.05169182183328853,0.7066594865683461,0.1809551865275786,0.11238532690407506
