t,S_mean,S_sd,I_mean,I_sd,R_mean,R_sd,S_ode,I_ode,R_ode
0,0.99,0.0,0.009999999999999998,1.828559098217032e-18,0.0,0.0,0.99,0.01,0.0
1,0.9747999999999999,0.004341018825626592,0.024399999999999998,0.005059644256269407,0.0008,0.0010327955589886446,0.9867232295490118,0.012171650703317043,0.0011051197476711354
2,0.9456000000000001,0.011730302638892125,0.0518,0.011679041056525145,0.0026000000000000003,0.0023190036174568114,0.9827516436909064,0.014798853978826168,0.0024495023302673643
3,0.8862,0.01924000462000408,0.1058,0.01690364852134986,0.008,0.004422166387140532,0.9779474838287081,0.017969525599057255,0.004082990572234523
4,0.7756,0.041812278898269425,0.2056,0.03593574512623576,0.018800000000000004,0.007612854625930772,0.9721501736436603,0.021784943013798817,0.006064883342540753
5,0.611,0.06642790578263526,0.35019999999999996,0.060710240761615596,0.038799999999999994,0.007955431408094026,0.9651746563786638,0.026360054867627988,0.008465288753708044
6,0.3974,0.07988352632287696,0.5304,0.06683844535727755,0.0722,0.015156956598649126,0.9568106599227557,0.0318228670940476,0.011366472983196504
7,0.20459999999999998,0.06731715977371594,0.6736,0.048007406835936385,0.12179999999999999,0.021978777642686746,0.9468235092801077,0.03831241188238426,0.014864078837507825
8,0.08280000000000001,0.03803156583681508,0.7352000000000001,0.0213791175371358,0.182,0.0242944895443848,0.9349572498232082,0.0459747043517425,0.01906804582504923
9,0.030200000000000005,0.014710540438746632,0.7136000000000001,0.010490207073477847,0.2562,0.02094330972464052,0.9209409785303574,0.0549560242434803,0.024102997226162153
10,0.011800000000000001,0.005846176338238334,0.6618,0.025094488106620808,0.3264,0.025988031433292084,0.9044993238150804,0.0653928818147616,0.030107794370157887
11,0.005,0.0028674417556808756,0.6048,0.024930124570709873,0.3902,0.024611650357774326,0.8853678691473664,0.07739822782114157,0.03723390303149192
12,0.0024000000000000002,0.0018378731669453628,0.5492,0.021482809665197666,0.4484,0.022066565961502325,0.863313917165887,0.09104389492493434,0.04564218790917852
13,0.0018000000000000002,0.0017511900715418262,0.4981999999999999,0.022160024067375644,0.5,0.02262741699796952,0.8381621406621997,0.10634006753189815,0.05549779180590199
14,0.0006000000000000001,0.0009660917830792958,0.449,0.020553453345957328,0.5504000000000001,0.020737512976353827,0.8098234498243881,0.12321365903311185,0.0669628911424999
15,0.0004,0.0008432740427115679,0.4084,0.022326864734863436,0.5912,0.022255086809286746,0.7783239564682268,0.14148867559474076,0.08018736793703228
16,0.0004,0.0008432740427115679,0.3728,0.023403703410642802,0.6268,0.023346662859318197,0.7438294113429358,0.1608728453100368,0.0952977433470273
17,0.0004,0.0008432740427115679,0.3386,0.020699973161549957,0.6609999999999999,0.020661289623082307,0.7066594865683461,0.1809551865275786,0.11238532690407506
18,0.0002,0.0006324555320336759,0.30500000000000005,0.021994948915098157,0.6948000000000001,0.022094745478909154,0.6672870459689833,0.20121807578421402,0.13149487824680256
19,0.0002,0.0006324555320336759,0.2752,0.024697278302589443,0.7245999999999999,0.024748512862167876,0.6263187905014752,0.22106605349646732,0.15261515600205727
20,0.0002,0.0006324555320336759,0.2484,0.02408872488669059,0.7514,0.024222120285208565,0.5844581629118424,0.23986860701948723,0.17567323006867033
21,0.0002,0.0006324555320336759,0.2258,0.023559852857491844,0.7739999999999999,0.023758039574940614,0.5424546452530311,0.2570118693163597,0.20053348543060914
22,0.0002,0.0006324555320336759,0.2042,0.02275375426898456,0.7956,0.022955028497767822,0.5010465007710811,0.27195148860403534,0.22700201062488343
23,0.0002,0.0006324555320336759,0.18319999999999997,0.01932643555110748,0.8165999999999999,0.019574359646117527,0.46090756382278175,0.28425662799249923,0.254835808184719
24,0.0002,0.0006324555320336759,0.16579999999999998,0.01578888497927859,0.834,0.016055459438389718,0.4226048907602156,0.29363935233416816,0.28375575690561616
25,0.0002,0.0006324555320336759,0.14939999999999998,0.017589138062388897,0.8503999999999999,0.01785870469360345,0.386572737180603,0.299965630981728,0.31346163183766895
26,0.0002,0.0006324555320336759,0.135,0.01713346303452853,0.8648,0.017287117875587156,0.3531041481960026,0.3032485610111903,0.34364729079280704
27,0.0002,0.0006324555320336759,0.1226,0.017715028146244143,0.8771999999999999,0.017843766418556384,0.3223576327421702,0.3036279224015264,0.3740144448563033
28,0.0002,0.0006324555320336759,0.1102,0.015215489184088403,0.8896,0.015428689006018785,0.29437462681292026,0.3013414324317153,0.4042839407553644
29,0.0002,0.0006324555320336759,0.09759999999999999,0.01407282645542268,0.9022,0.014436065946094883,0.26910267404519267,0.29669335036712496,0.4342039755876823
30,0.0002,0.0006324555320336759,0.087,0.013670731102939917,0.9128000000000001,0.014053864632588129,0.2464204565964422,0.2900243143260857,0.46355522907747204
31,0.0002,0.0006324555320336759,0.07919999999999999,0.013036700332352337,0.9206,0.013467656729282126,0.2261605926839768,0.2816861984252393,0.49215320889078384
32,0.0002,0.0006324555320336759,0.0718,0.01294260835809811,0.9280000000000002,0.013299958228839977,0.20812939550122378,0.2720222979369229,0.5198483065618533
33,0.0002,0.0006324555320336759,0.06620000000000001,0.01194245461461848,0.9336,0.012249263016379536,0.19212233180787386,0.2613534631881232,0.546524205004003
34,0.0002,0.0006324555320336759,0.05940000000000001,0.010373041983911951,0.9404,0.010658330075579344,0.17793517539775405,0.2499696206913558,0.5720952039108902
35,0.0002,0.0006324555320336759,0.05539999999999999,0.009570788891204319,0.9443999999999999,0.009834180754445719,0.16537182560168742,0.23812534709370434,0.5965028273046084
36,0.0002,0.0006324555320336759,0.049,0.009672412085697938,0.9507999999999999,0.009986657765906128,0.1542490036150445,0.22603876170686266,0.6197122346780929
37,0.0002,0.0006324555320336759,0.044,0.011035296904831233,0.9558,0.0112920817881873,0.14439881453893214,0.21389255811064642,0.6417086273504214
38,0.0002,0.0006324555320336759,0.03919999999999999,0.010716550025285395,0.9606,0.01099696927945757,0.13566974002106044,0.20183647267234459,0.662493787306595
39,0.0002,0.0006324555320336759,0.03480000000000001,0.011593101396951551,0.9649999999999999,0.011935009193312114,0.12792651831813864,0.1899905276215067,0.6820829540603547
40,0.0002,0.0006324555320336759,0.031400000000000004,0.010996969279457562,0.9683999999999999,0.01130584902704005,0.12104940306450108,0.17844854756693437,0.7005020493685645
41,0.0002,0.0006324555320336759,0.0284,0.009605553948974868,0.9714,0.009890511727015057,0.1149329956183991,0.16728180881348248,0.7177851955681185
42,0.0002,0.0006324555320336759,0.0256,0.008262364471909155,0.9742000000000001,0.008508818954473066,0.10948492500560439,0.15654240250433332,0.7339726724900624
43,0.0002,0.0006324555320336759,0.0242,0.008350648677398261,0.9755999999999998,0.008579044235810893,0.10462447309350942,0.14626638784215398,0.7491091390643367
44,0.0002,0.0006324555320336759,0.022199999999999998,0.007743097284391793,0.9775999999999998,0.007933053216343217,0.10028121219363946,0.1364766175337113,0.7632421702726494
45,0.0002,0.0006324555320336759,0.0196,0.006168017869984201,0.9802,0.006285786435372363,0.09639377803365155,0.12718513894282626,0.7764210830235223
46,0.0002,0.0006324555320336759,0.018,0.006036923425424944,0.9818,0.006069962474714692,0.09290868208634355,0.11839538665288923,0.7886959312607674
47,0.0002,0.0006324555320336759,0.015799999999999998,0.005202563470700446,0.984,0.005163977794943227,0.08977930379642313,0.11010391846012425,0.8001167777434528
48,0.0002,0.0006324555320336759,0.0152,0.004917090377222873,0.9846,0.004903513479582215,0.08696500895326734,0.10230194992219092,0.8107330411245419
49,0.0002,0.0006324555320336759,0.013999999999999999,0.003999999999999999,0.9858,0.003938414796731185,0.08443024463789534,0.09497669582649941,0.8205930595356055
50,0.0002,0.0006324555320336759,0.012799999999999997,0.004541169697580373,0.9869999999999999,0.004447221354708781,0.08214399029585104,0.08811226511701328,0.8297437445871358
51,0.0002,0.0006324555320336759,0.012,0.005163977794943222,0.9878,0.005116422361159976,0.08007903630945247,0.08169068939063076,0.8382302742999169
52,0.0002,0.0006324555320336759,0.0108,0.005266244708835066,0.9890000000000001,0.005011098792790974,0.07821151586008428,0.07569248885200046,0.8460959952879155
