t,S_mean,S_sd,I_mean,I_sd,R_mean,R_sd,S_ode,I_ode,R_ode
0,0.99,0.0,0.009999999999999998,1.828559098217032e-18,0.0,0.0,0.99,0.01,0.0
1,0.9763999999999999,0.004501851470969106,0.023000000000000003,0.004737556801183965,0.0006000000000000001,0.0009660917830792958,0.9867232295490118,0.012171650703317043,0.0011051197476711354
2,0.945,0.012083045973594544,0.0522,0.011754904413808638,0.0028000000000000004,0.0016865480854231355,0.9827516436909064,0.014798853978826168,0.0024495023302673643
3,0.889,0.02915475947422653,0.10240000000000002,0.028060252632108956,0.0086,0.004325634186002222,0.9779474838287081,0.017969525599057255,0.004082990572234523
4,0.7848000000000002,0.055024842874226675,0.19519999999999998,0.05024561893560694,0.019999999999999997,0.006599663291074444,0.9721501736436603,0.021784943013798817,0.006064883342540753
5,0.6252000000000001,0.08130163316659485,0.337,0.0740225190961057,0.0378,0.00921110440959413,0.9651746563786638,0.026360054867627988,0.008465288753708044
6,0.4234,0.09605577083710855,0.5022,0.08248609310396239,0.0744,0.018130391918298707,0.9568106599227557,0.0318228670940476,0.011366472983196504
7,0.23700000000000002,0.08496927549283786,0.6451999999999999,0.06584291069575288,0.11779999999999999,0.027526956485113524,0.9468235092801077,0.03831241188238426,0.014864078837507825
8,0.10700000000000003,0.049344593309590554,0.7112,0.03525399898514272,0.1818,0.03367095682236152,0.9349572498232082,0.0459747043517425,0.01906804582504923
9,0.041600000000000005,0.020413503156271613,0.7095999999999999,0.027109653877047817,0.24879999999999997,0.033548637991893365,0.9209409785303574,0.0549560242434803,0.024102997226162153
10,0.0186,0.00864355893779357,0.6651999999999999,0.031723808094237346,0.31620000000000004,0.03583232556722429,0.9044993238150804,0.0653928818147616,0.030107794370157887
11,0.008799999999999999,0.0036757463338907255,0.6104,0.0326843489558331,0.3808,0.03472047106695287,0.8853678691473664,0.07739822782114157,0.03723390303149192
12,0.0048000000000000004,0.002859681411936962,0.5554,0.03229103762828177,0.4398000000000001,0.03324588529260258,0.863313917165887,0.09104389492493434,0.04564218790917852
13,0.003,0.0021602468994692866,0.5034000000000001,0.03457744929863973,0.4936000000000001,0.03545012145410946,0.8381621406621997,0.10634006753189815,0.05549779180590199
14,0.0022,0.0019888578520235066,0.4574,0.031099124675070124,0.5404,0.031323402681630134,0.8098234498243881,0.12321365903311185,0.0669628911424999
15,0.0018000000000000002,0.0019888578520235066,0.421,0.031555946789436976,0.5772,0.031709795191882106,0.7783239564682268,0.14148867559474076,0.08018736793703228
16,0.0014,0.0016465452046971292,0.38239999999999996,0.03178818788306261,0.6162,0.031699281449970536,0.7438294113429358,0.1608728453100368,0.0952977433470273
17,0.0014,0.0016465452046971292,0.3518,0.03178329400452033,0.6468,0.03151296029678373,0.7066594865683461,0.1809551865275786,0.11238532690407506
18,0.0014,0.0016465452046971292,0.3206,0.029273423669487878,0.6779999999999999,0.02918142483765236,0.6672870459689833,0.20121807578421402,0.13149487824680256
19,0.0014,0.0016465452046971292,0.2894,0.029710454575975626,0.7092,0.029697736539264316,0.6263187905014752,0.22106605349646732,0.15261515600205727
20,0.0012000000000000001,0.0016865480854231355,0.2606,0.026899814125751872,0.7382000000000001,0.026906422199087655,0.5844581629118424,0.23986860701948723,0.17567323006867033
21,0.0012000000000000001,0.0016865480854231355,0.2378,0.027543097542255892,0.761,0.02741046029043173,0.5424546452530311,0.2570118693163597,0.20053348543060914
22,0.0012000000000000001,0.0016865480854231355,0.21459999999999999,0.030507558262029284,0.7842000000000001,0.030498816006162898,0.5010465007710811,0.27195148860403534,0.22700201062488343
23,0.0012000000000000001,0.0016865480854231355,0.19459999999999997,0.03012640038238886,0.8042,0.03007324392213116,0.46090756382278175,0.28425662799249923,0.254835808184719
24,0.0012000000000000001,0.0016865480854231355,0.17759999999999995,0.027027557952743135,0.8211999999999999,0.027083410256300997,0.4226048907602156,0.29363935233416816,0.28375575690561616
25,0.0012000000000000001,0.0016865480854231355,0.16199999999999998,0.023999999999999997,0.8368,0.023948092014002092,0.386572737180603,0.299965630981728,0.31346163183766895
26,0.0012000000000000001,0.0016865480854231355,0.1494,0.022111836950677193,0.8493999999999999,0.022212108809786132,0.3531041481960026,0.3032485610111903,0.34364729079280704
27,0.0012000000000000001,0.0016865480854231355,0.1346,0.02101956760312215,0.8642,0.021217393284232125,0.3223576327421702,0.3036279224015264,0.3740144448563033
28,0.0012000000000000001,0.0016865480854231355,0.12200000000000003,0.01773884626086676,0.8767999999999999,0.017992591067807158,0.29437462681292026,0.3013414324317153,0.4042839407553644
29,0.0012000000000000001,0.0016865480854231355,0.10980000000000001,0.01742157028258679,0.8889999999999999,0.017869900204906964,0.26910267404519267,0.29669335036712496,0.4342039755876823
30,0.0012000000000000001,0.0016865480854231355,0.09879999999999999,0.016362558887085276,0.8999999999999998,0.016865480854231372,0.2464204565964422,0.2900243143260857,0.46355522907747204
31,0.0012000000000000001,0.0016865480854231355,0.0864,0.016049922118191104,0.9123999999999999,0.016351690364539633,0.2261605926839768,0.2816861984252393,0.49215320889078384
32,0.0012000000000000001,0.0016865480854231355,0.07619999999999999,0.015418603481941332,0.9226000000000001,0.015833859640375435,0.20812939550122378,0.2720222979369229,0.5198483065618533
33,0.0012000000000000001,0.0016865480854231355,0.06860000000000002,0.01487876936368656,0.9301999999999999,0.015302868285970985,0.19212233180787386,0.2613534631881232,0.546524205004003
34,0.0012000000000000001,0.0016865480854231355,0.06300000000000001,0.012587471725666138,0.9357999999999999,0.013214470183182567,0.17793517539775405,0.2499696206913558,0.5720952039108902
35,0.0012000000000000001,0.0016865480854231355,0.058800000000000005,0.009807026959164423,0.9400000000000001,0.010370899457402653,0.16537182560168742,0.23812534709370434,0.5965028273046084
36,0.0012000000000000001,0.0016865480854231355,0.052000000000000005,0.009092121131323903,0.9468,0.009670114327716646,0.1542490036150445,0.22603876170686266,0.6197122346780929
37,0.0012000000000000001,0.0016865480854231355,0.0464,0.01001332445627658,0.9523999999999999,0.0104477536128852,0.14439881453893214,0.21389255811064642,0.6417086273504214
38,0.0012000000000000001,0.0016865480854231355,0.0422,0.010304260176149367,0.9565999999999999,0.010875047892614858,0.13566974002106044,0.20183647267234459,0.662493787306595
39,0.0012000000000000001,0.0016865480854231355,0.0392,0.009942054337230532,0.9596,0.010741404832598852,0.12792651831813864,0.1899905276215067,0.6820829540603547
40,0.0012000000000000001,0.0016865480854231355,0.03579999999999999,0.009727395449051211,0.9629999999999999,0.010424330514074601,0.12104940306450108,0.17844854756693437,0.7005020493685645
41,0.0012000000000000001,0.0016865480854231355,0.03200000000000001,0.010241527663824811,0.9667999999999999,0.01092194528867862,0.1149329956183991,0.16728180881348248,0.7177851955681185
42,0.0012000000000000001,0.0016865480854231355,0.0278,0.009162726425881956,0.9709999999999999,0.009809292646374783,0.10948492500560439,0.15654240250433332,0.7339726724900624
43,0.0012000000000000001,0.0016865480854231355,0.026599999999999995,0.010243697249203204,0.9722,0.010972693379476171,0.10462447309350942,0.14626638784215398,0.7491091390643367
44,0.0012000000000000001,0.0016865480854231355,0.0226,0.010024414640710393,0.9761999999999998,0.010685400216078852,0.10028121219363946,0.1364766175337113,0.7632421702726494
45,0.0012000000000000001,0.0016865480854231355,0.018800000000000004,0.007612854625930773,0.9800000000000001,0.008379870059984364,0.09639377803365155,0.12718513894282626,0.7764210830235223
46,0.0012000000000000001,0.0016865480854231355,0.017200000000000003,0.0071305290437978334,0.9816,0.008154071920757691,0.09290868208634355,0.11839538665288923,0.7886959312607674
47,0.0012000000000000001,0.0016865480854231355,0.0158,0.0066965994687187645,0.9829999999999999,0.0075571893658364295,0.08977930379642313,0.11010391846012425,0.8001167777434528
48,0.0012000000000000001,0.0016865480854231355,0.013800000000000002,0.007857056276579247,0.985,0.008498365855987983,0.08696500895326734,0.10230194992219092,0.8107330411245419
49,0.0012000000000000001,0.0016865480854231355,0.011800000000000001,0.0057696524062450134,0.9869999999999999,0.005906681715556456,0.08443024463789534,0.09497669582649941,0.8205930595356055
50,0.0012000000000000001,0.0016865480854231355,0.0108,0.0057503623074260865,0.9879999999999999,0.005962847939999445,0.08214399029585104,0.08811226511701328,0.8297437445871358
51,0.0012000000000000001,0.0016865480854231355,0.0092,0.004638007234913623,0.9896,0.004788875998951464,0.08007903630945247,0.08169068939063076,0.8382302742999169
52,0.0012000000000000001,0.0016865480854231355,0.007800000000000001,0.0033266599866332396,0.991,0.003431876713662336,0.07821151586008428,0.07569248885200046,0.8460959952879155
53,0.0012000000000000001,0.0016865480854231355,0.0064,0.0030983866769659337,0.9924,0.002796823595120407,0.07652047244351066,0.07009731801999082,0.8533822095364987
54,0.0012000000000000001,0.0016865480854231355,0.0062,0.0030477678535099895,0.9925999999999998,0.0028362729848243557,0.07498741652317045,0.06488438714140433,0.8601281963354254
55,0.0012000000000000001,0.0016865480854231355,0.0054,0.002836272984824353,0.9934000000000001,0.0029888682361946554,0.07359606328162885,0.06003280358518667,0.8663711331331847
56,0.0012000000000000001,0.0016865480854231355,0.005,0.0031622776601683794,0.9937999999999999,0.0031902629637347757,0.07233199803801868,0.05552189238558199,0.8721461095763995
57,0.0012000000000000001,0.0016865480854231355,0.005,0.0031622776601683794,0.9937999999999999,0.0031902629637347757,0.07118245391673106,0.05133135600813439,0.8774861900751347
58,0.0012000000000000001,0.0016865480854231355,0.004399999999999999,0.0029514591494904877,0.9944,0.0029514591494904903,0.07013610652361106,0.04744149100745695,0.8824224024689322
59,0.0012000000000000001,0.0016865480854231355,0.0038000000000000004,0.002573367875415838,0.9950000000000001,0.0027080128015453224,0.06918287107469678,0.043833255320112605,0.8869838736051908
60,0.0012000000000000001,0.0016865480854231355,0.0032,0.0016865480854231355,0.9956000000000002,0.0018378731669453643,0.06831377590656529,0.04048839082594865,0.8911978332674863
61,0.0012000000000000001,0.0016865480854231355,0.0032,0.0016865480854231355,0.9956000000000002,0.0018378731669453643,0.0675207998850102,0.037389454338005335,0.8950897457769846
62,0.0012000000000000001,0.0016865480854231355,0.0028000000000000004,0.0019321835661585919,0.9960000000000001,0.0018856180831641283,0.06679677698759798,0.034519853828504796,0.8986833691838974
63,0.0008888888888888889,0.001452966314513558,0.002888888888888889,0.0020275875100994067,0.9962222222222221,0.0023333333333333353,0.06613528635739645,0.03186387904154386,0.9020008346010598
64,0.001,0.001511857892036909,0.00275,0.0021213203435596424,0.9962499999999999,0.002251983252919209,0.06553056181759566,0.029406668730721335,0.9050627694516832
65,0.001142857142857143,0.0015735915849388864,0.0028571428571428576,0.0022677868380553638,0.9959999999999999,0.0016329931618554534,0.06497742878682049,0.02713424315143387,0.9078883280617458
66,0.0006666666666666666,0.0010327955589886444,0.0030000000000000005,0.0016733200530681513,0.9963333333333333,0.0015055453054181633,0.06447122056488687,0.025033443791017,0.9104953356440963
67,0.0006666666666666666,0.0010327955589886444,0.0030000000000000005,0.0016733200530681513,0.9963333333333333,0.0015055453054181633,0.064007736500686,0.023091935753259445,0.9129003277460548
68,0.0006666666666666666,0.0010327955589886444,0.0026666666666666666,0.0016329931618554521,0.9966666666666667,0.0016329931618554536,0.0635831825706402,0.021298173073531837,0.9151186443558282
