t,S_mean,S_sd,I_mean,I_sd,R_mean,R_sd,S_ode,I_ode,R_ode
0,0.99,0.0,0.009999999999999998,1.828559098217032e-18,0.0,0.0,0.99,0.01,0.0
1,0.9739999999999999,0.003527668414752791,0.024199999999999996,0.0031902629637347727,0.0018000000000000002,0.001988857852023506,0.9867232295490118,0.012171650703317043,0.0011051197476711354
2,0.9430000000000002,0.011935009193312062,0.054200000000000005,0.011979612310551252,0.0027999999999999995,0.002699794230842212,0.9827516436909064,0.014798853978826168,0.0024495023302673643
3,0.882,0.024166091947189165,0.10940000000000001,0.021396780650888167,0.008600000000000002,0.005420127099780759,0.9779474838287081,0.017969525599057255,0.004082990572234523
4,0.7772,0.04351449311564034,0.203,0.03943207943906698,0.019799999999999998,0.007390684827688312,0.9721501736436603,0.021784943013798817,0.006064883342540753
5,0.609,0.07262231062146123,0.353,0.0674306227828936,0.038,0.012823589374447565,0.9651746563786638,0.026360054867627988,0.008465288753708044
6,0.3982,0.08982179888844108,0.529,0.07711031059462801,0.0728,0.017209816320280055,0.9568106599227557,0.0318228670940476,0.011366472983196504
7,0.20779999999999998,0.06424570889258761,0.6685999999999999,0.045127473770297494,0.12360000000000002,0.023698101189757802,0.9468235092801077,0.03831241188238426,0.014864078837507825
8,0.0868,0.033956835345283085,0.7278,0.023522093633197065,0.18539999999999998,0.033718442035973926,0.9349572498232082,0.0459747043517425,0.01906804582504923
9,0.030600000000000006,0.014758801517136213,0.7152,0.02311709324287981,0.2542000000000001,0.02872784170258686,0.9209409785303574,0.0549560242434803,0.024102997226162153
10,0.0118,0.007800284895082002,0.6656000000000001,0.020522074835541252,0.3226,0.02433196343175874,0.9044993238150804,0.0653928818147616,0.030107794370157887
11,0.007400000000000001,0.004526465385804789,0.6026,0.025421775442849535,0.39,0.027129319932501075,0.8853678691473664,0.07739822782114157,0.03723390303149192
12,0.0034000000000000002,0.002118699810942761,0.5466,0.025263940046371742,0.45,0.02576819745345025,0.863313917165887,0.09104389492493434,0.04564218790917852
13,0.0026000000000000003,0.0018973665961010276,0.4959999999999999,0.029962940072325642,0.5014000000000001,0.02959053902854764,0.8381621406621997,0.10634006753189815,0.05549779180590199
