t,S_mean,S_sd,I_mean,I_sd,R_mean,R_sd,S_ode,I_ode,R_ode
0,0.99,0.0,0.009999999999999998,1.828559098217032e-18,0.0,0.0,0.99,0.01,0.0
1,0.9753999999999999,0.0053374983736661635,0.024,0.005333333333333334,0.0006000000000000001,0.001349897115421106,0.9867232295490118,0.012171650703317043,0.0011051197476711354
2,0.9498,0.007450577904505879,0.0464,0.00710555338371959,0.0038000000000000004,0.003457680661303984,0.9827516436909064,0.014798853978826168,0.0024495023302673643
3,0.9218000000000002,0.011213087591441224,0.07100000000000001,0.00985449699939632,0.007200000000000001,0.003011090610836324,0.9779474838287081,0.017969525599057255,0.004082990572234523
4,0.8960000000000001,0.01580435945483961,0.09079999999999999,0.013862819979274701,0.0132,0.004131182235954578,0.9721501736436603,0.021784943013798817,0.006064883342540753
5,0.868,0.016970562748477157,0.11080000000000001,0.015295605759679986,0.021199999999999997,0.006338594306135847,0.9651746563786638,0.026360054867627988,0.008465288753708044
6,0.8404,0.02318620279390312,0.12760000000000002,0.019636700333813723,0.03200000000000001,0.009977753031397177,0.9568106599227557,0.0318228670940476,0.011366472983196504
7,0.8172,0.026114278767669506,0.1368,0.02191295912873881,0.046,0.009706813185707359,0.9468235092801077,0.03831241188238426,0.014864078837507825
8,0.795,0.029862648539233365,0.1456,0.023641770943254942,0.05940000000000001,0.012258330500792784,0.9349572498232082,0.0459747043517425,0.01906804582504923
9,0.7712,0.03404833166087421,0.15719999999999998,0.02498355014360004,0.0716,0.01391402170474087,0.9209409785303574,0.0549560242434803,0.024102997226162153
10,0.7464000000000001,0.03503395178648532,0.16719999999999996,0.022215109972969098,0.08639999999999999,0.01664798953494252,0.9044993238150804,0.0653928818147616,0.030107794370157887
11,0.7262000000000001,0.0387751352171867,0.17039999999999997,0.023735580417966987,0.1034,0.018524458306670013,0.8853678691473664,0.07739822782114157,0.03723390303149192
12,0.7068000000000001,0.04348384118778427,0.17419999999999997,0.029686510217418437,0.11900000000000002,0.01715938356831167,0.863313917165887,0.09104389492493434,0.04564218790917852
13,0.6853999999999999,0.05189776274347265,0.17839999999999998,0.03507198945660831,0.13620000000000002,0.019537997167911898,0.8381621406621997,0.10634006753189815,0.05549779180590199
14,0.6609999999999999,0.05624746907886416,0.18619999999999998,0.03636176257798538,0.1528,0.024040706219983544,0.8098234498243881,0.12321365903311185,0.0669628911424999
15,0.6386000000000001,0.06018526951561046,0.18919999999999998,0.03886386496477158,0.1722,0.026873365583376,0.7783239564682268,0.14148867559474076,0.08018736793703228
16,0.6154,0.06456727757411901,0.19479999999999997,0.03799649106606205,0.18979999999999997,0.034285727513224964,0.7438294113429358,0.1608728453100368,0.0952977433470273
17,0.5928000000000001,0.07295782647834599,0.19679999999999997,0.04500074073464421,0.2104,0.035997530779516285,0.7066594865683461,0.1809551865275786,0.11238532690407506
18,0.5720000000000001,0.08050396815616537,0.19859999999999997,0.04871732523217769,0.2294,0.03984469851812157,0.6672870459689833,0.20121807578421402,0.13149487824680256
19,0.5532,0.0878898300272689,0.2002,0.05084573619182722,0.2466,0.04389937989944226,0.6263187905014752,0.22106605349646732,0.15261515600205727
20,0.5328000000000002,0.091594274445028,0.20379999999999998,0.05216597443630176,0.2634,0.04600531370275491,0.5844581629118424,0.23986860701948723,0.17567323006867033
