t,S_mean,S_sd,I_mean,I_sd,R_mean,R_sd,S_ode,I_ode,R_ode
0,0.99,0.0,0.009999999999999998,1.828559098217032e-18,0.0,0.0,0.99,0.01,0.0
1,0.975,0.005906681715556456,0.023799999999999995,0.005846176338238334,0.0012000000000000001,0.0016865480854231355,0.9867232295490118,0.012171650703317043,0.0011051197476711354
2,0.9514000000000001,0.009570788891204302,0.044399999999999995,0.009033271832508972,0.0042,0.00332665998663324,0.9827516436909064,0.014798853978826168,0.0024495023302673643
3,0.9006000000000001,0.02600940001016729,0.091,0.0259101009904117,0.008400000000000001,0.005399588461684423,0.9779474838287081,0.017969525599057255,0.004082990572234523
4,0.8144,0.050295128988799696,0.16860000000000003,0.04891761782153066,0.017,0.008445906306213285,0.9721501736436603,0.021784943013798817,0.006064883342540753
5,0.6798,0.07640506091440105,0.28880000000000006,0.07122546361145475,0.0314,0.010956479564369407,0.9651746563786638,0.026360054867627988,0.008465288753708044
6,0.49380000000000007,0.10405319152561668,0.4488,0.09143400777488526,0.05740000000000001,0.016761065996330104,0.9568106599227557,0.0318228670940476,0.011366472983196504
7,0.2972,0.10620399657681856,0.6033999999999999,0.08676942625909966,0.0994,0.023646470255739134,0.9468235092801077,0.03831241188238426,0.014864078837507825
8,0.14780000000000001,0.06882150826594838,0.6900000000000001,0.0470838495546922,0.16219999999999998,0.03352544638860989,0.9349572498232082,0.0459747043517425,0.01906804582504923
9,0.064,0.03698648401781386,0.7118,0.023989812652688857,0.2242,0.03390771790217285,0.9209409785303574,0.0549560242434803,0.024102997226162153
10,0.0264,0.016991501143545588,0.6874,0.023305697920370332,0.2862,0.03239272895093727,0.9044993238150804,0.0653928818147616,0.030107794370157887
11,0.009600000000000001,0.006310485101972924,0.6406,0.03085521745903673,0.3498,0.034129817527265585,0.8853678691473664,0.07739822782114157,0.03723390303149192
12,0.0056,0.0037475918193480527,0.5763999999999999,0.029571758298905515,0.418,0.030051807118892375,0.863313917165887,0.09104389492493434,0.04564218790917852
13,0.0018000000000000002,0.0017511900715418262,0.5246000000000001,0.03202845956680126,0.4736000000000001,0.03205273432607237,0.8381621406621997,0.10634006753189815,0.05549779180590199
14,0.0016,0.0012649110640673518,0.4798,0.027478476425498315,0.5186,0.02745582310225323,0.8098234498243881,0.12321365903311185,0.0669628911424999
15,0.0014,0.0013498971154211057,0.43620000000000003,0.02605037854278172,0.5624,0.02586804120059256,0.7783239564682268,0.14148867559474076,0.08018736793703228
16,0.0014,0.0013498971154211057,0.3934,0.027455823102253238,0.6052,0.027165337390791886,0.7438294113429358,0.1608728453100368,0.0952977433470273
17,0.0012000000000000001,0.0013984117975602021,0.35679999999999995,0.030407601388834044,0.642,0.03011090610836325,0.7066594865683461,0.1809551865275786,0.11238532690407506
18,0.0012000000000000001,0.0013984117975602021,0.31920000000000004,0.027987298706536306,0.6796,0.027629292024548446,0.6672870459689833,0.20121807578421402,0.13149487824680256
19,0.0012000000000000001,0.0013984117975602021,0.2888,0.02503686171317093,0.71,0.024693678903269504,0.6263187905014752,0.22106605349646732,0.15261515600205727
20,0.0012000000000000001,0.0013984117975602021,0.26060000000000005,0.02464052668989759,0.7382000000000001,0.02448491599150612,0.5844581629118424,0.23986860701948723,0.17567323006867033
21,0.0012000000000000001,0.0013984117975602021,0.2366,0.023210151035939226,0.7622000000000001,0.0231026693984339,0.5424546452530311,0.2570118693163597,0.20053348543060914
22,0.0012000000000000001,0.0013984117975602021,0.2142,0.0226950802304523,0.7846000000000001,0.022628399069409336,0.5010465007710811,0.27195148860403534,0.22700201062488343
23,0.0012000000000000001,0.0013984117975602021,0.19279999999999997,0.019071794182334643,0.806,0.01909042808436845,0.46090756382278175,0.28425662799249923,0.254835808184719
24,0.0012000000000000001,0.0013984117975602021,0.17539999999999997,0.0155220273589932,0.8234,0.015407069084604532,0.4226048907602156,0.29363935233416816,0.28375575690561616
25,0.0012000000000000001,0.0013984117975602021,0.15979999999999997,0.017548662500474373,0.8390000000000001,0.01749285568453589,0.386572737180603,0.299965630981728,0.31346163183766895
26,0.0012000000000000001,0.0013984117975602021,0.14259999999999998,0.017154202594893957,0.8562,0.01698234377228304,0.3531041481960026,0.3032485610111903,0.34364729079280704
