t,S_mean,S_sd,I_mean,I_sd,R_mean,R_sd,S_ode,I_ode,R_ode
0,0.99,0.0,0.009999999999999998,1.828559098217032e-18,0.0,0.0,0.99,0.01,0.0
1,0.976,0.003527668414752791,0.023199999999999995,0.0037947331922020553,0.0008,0.0010327955589886446,0.9867232295490118,0.012171650703317043,0.0011051197476711354
2,0.9454,0.01111755368774981,0.0516,0.010986860839708089,0.003,0.002160246899469287,0.9827516436909064,0.014798853978826168,0.0024495023302673643
3,0.8855999999999999,0.019085771314428644,0.10599999999999998,0.019618585292749548,0.008400000000000001,0.0037475918193480527,0.9779474838287081,0.017969525599057255,0.004082990572234523
4,0.78,0.03603701800463886,0.20319999999999996,0.033215792763215644,0.016800000000000002,0.005513619500836089,0.9721501736436603,0.021784943013798817,0.006064883342540753
5,0.613,0.05418691929074971,0.3538,0.05231061077831151,0.03319999999999999,0.004442221666388716,0.9651746563786638,0.026360054867627988,0.008465288753708044
6,0.4032,0.062126752155036505,0.5316,0.057277492185946036,0.06520000000000001,0.007899367063252602,0.9568106599227557,0.0318228670940476,0.011366472983196504
7,0.20439999999999997,0.04554655737691807,0.6866000000000001,0.03807653112118042,0.10900000000000001,0.010077477638553984,0.9468235092801077,0.03831241188238426,0.014864078837507825
8,0.0872,0.021191193139289414,0.7412,0.016280868117722322,0.17159999999999997,0.016215219188568906,0.9349572498232082,0.0459747043517425,0.01906804582504923
9,0.0372,0.011783227250819041,0.7167999999999999,0.017918333255821157,0.246,0.020110804171997804,0.9209409785303574,0.0549560242434803,0.024102997226162153
10,0.018000000000000002,0.008537498983243798,0.6706000000000001,0.02407488317728663,0.3114,0.024459490319028866,0.9044993238150804,0.0653928818147616,0.030107794370157887
11,0.0094,0.004812021982031623,0.6161999999999999,0.024448585507823032,0.37439999999999996,0.024599909665597466,0.8853678691473664,0.07739822782114157,0.03723390303149192
12,0.006,0.003771236166328253,0.5634,0.02351453451236771,0.4306,0.02280448299007114,0.863313917165887,0.09104389492493434,0.04564218790917852
13,0.0046,0.003272783388968954,0.5064,0.024672071479936827,0.489,0.024823823682547826,0.8381621406621997,0.10634006753189815,0.05549779180590199
14,0.0036000000000000003,0.003238655413730965,0.4566,0.029121202661367623,0.5397999999999998,0.02992509166420564,0.8098234498243881,0.12321365903311185,0.0669628911424999
15,0.0026000000000000003,0.002836272984824353,0.41500000000000015,0.024189070075368975,0.5824,0.025118386360061664,0.7783239564682268,0.14148867559474076,0.08018736793703228
16,0.0021999999999999997,0.0023944379994757297,0.377,0.021648710508172707,0.6208,0.022592033994308723,0.7438294113429358,0.1608728453100368,0.0952977433470273
17,0.002,0.002309401076758503,0.344,0.022705848487901862,0.6539999999999999,0.024147693701699793,0.7066594865683461,0.1809551865275786,0.11238532690407506
18,0.002,0.002309401076758503,0.31259999999999993,0.021188046944759533,0.6854000000000001,0.02278498530953123,0.6672870459689833,0.20121807578421402,0.13149487824680256
19,0.002,0.002309401076758503,0.2858,0.022319896455355197,0.7121999999999999,0.023989812652688847,0.6263187905014752,0.22106605349646732,0.15261515600205727
