t,S_mean,S_sd,I_mean,I_sd,R_mean,R_sd,S_ode,I_ode,R_ode
0,0.99,0.0,0.009999999999999998,1.828559098217032e-18,0.0,0.0,0.99,0.01,0.0
1,0.9751999999999998,0.0035527766918597974,0.023399999999999997,0.003533962208186286,0.0014,0.0016465452046971292,0.9867232295490118,0.012171650703317043,0.0011051197476711354
2,0.9486000000000001,0.00772010362624748,0.0474,0.007244921593011819,0.004,0.00298142396999972,0.9827516436909064,0.014798853978826168,0.0024495023302673643
3,0.9039999999999999,0.014267289706021811,0.08639999999999999,0.013057139383834763,0.009600000000000001,0.004971027168615266,0.9779474838287081,0.017969525599057255,0.004082990572234523
4,0.8418000000000001,0.030990321069650127,0.1392,0.027458251137964986,0.019,0.007071067811865475,0.9721501736436603,0.021784943013798817,0.006064883342540753
5,0.7552,0.044213622837813736,0.21259999999999998,0.03732202209598688,0.0322,0.010891382934330342,0.9651746563786638,0.026360054867627988,0.008465288753708044
6,0.6342,0.05644623794175994,0.3126,0.045382816131218646,0.053200000000000004,0.014304622407537443,0.9568106599227557,0.0318228670940476,0.011366472983196504
7,0.4866,0.07050327021572197,0.4272,0.058089585985785785,0.08619999999999998,0.016450599448719856,0.9468235092801077,0.03831241188238426,0.014864078837507825
8,0.3302,0.07656195748107106,0.5416,0.05662979192380397,0.1282,0.024863181167698103,0.9349572498232082,0.0459747043517425,0.01906804582504923
9,0.19539999999999996,0.056851072500388636,0.6262,0.033192368600829546,0.17839999999999998,0.027613201351688453,0.9209409785303574,0.0549560242434803,0.024102997226162153
10,0.09699999999999999,0.032389984734653876,0.6644000000000001,0.024125597286791572,0.23859999999999998,0.03843667230364483,0.9044993238150804,0.0653928818147616,0.030107794370157887
11,0.043,0.0157550697307953,0.6536000000000001,0.030387131779386133,0.3034,0.040879769514462226,0.8853678691473664,0.07739822782114157,0.03723390303149192
12,0.0182,0.008916900308465444,0.6216,0.034003921342496184,0.36019999999999996,0.03878659562271482,0.863313917165887,0.09104389492493434,0.04564218790917852
13,0.0078,0.004263540521418529,0.5756,0.03486864239144135,0.41659999999999997,0.03721469243905333,0.8381621406621997,0.10634006753189815,0.05549779180590199
14,0.003,0.0019436506316151,0.5198,0.03906063662222279,0.4772,0.039487832162438216,0.8098234498243881,0.12321365903311185,0.0669628911424999
15,0.0018000000000000002,0.0014757295747452434,0.47539999999999993,0.03394178021914061,0.5227999999999999,0.03423059060742793,0.7783239564682268,0.14148867559474076,0.08018736793703228
16,0.001,0.001414213562373095,0.42919999999999997,0.031498853594659246,0.5698000000000001,0.03154467731118303,0.7438294113429358,0.1608728453100368,0.0952977433470273
17,0.0008,0.0013984117975602021,0.3884,0.030152206479054814,0.6108,0.029891656212246133,0.7066594865683461,0.1809551865275786,0.11238532690407506
18,0.0008,0.0013984117975602021,0.3544,0.02842221353487836,0.6447999999999999,0.028161439357154084,0.6672870459689833,0.20121807578421402,0.13149487824680256
19,0.0008,0.0013984117975602021,0.32020000000000004,0.02731625482707645,0.679,0.02693613846778255,0.6263187905014752,0.22106605349646732,0.15261515600205727
20,0.0008,0.0013984117975602021,0.2912,0.023441653335699496,0.708,0.02313246876386328,0.5844581629118424,0.23986860701948723,0.17567323006867033
