time,open,high,low,close,tick_volume
2011-03-24,0.83,0.9,0.82,0.87,14009
2011-03-25,0.87,0.89,0.86,0.89,4819
2011-03-28,0.82,0.85,0.76,0.8,12565
2011-03-29,0.8,0.8,0.77,0.79,4215
2011-03-30,0.79,0.79,0.76,0.79,3218
2011-03-31,0.79,0.8,0.77,0.78,6875
2011-04-01,0.79,0.8,0.78,0.78,3186
2011-04-04,0.78,0.79,0.56,0.68,31155
2011-04-05,0.68,0.75,0.58,0.71,9730
2011-04-06,0.71,0.75,0.69,0.74,8703
2011-04-07,0.74,0.79,0.72,0.75,10832
2011-04-08,0.75,0.8,0.73,0.75,18207
2011-04-11,0.74,0.8,0.71,0.77,14645
2011-04-12,0.77,0.9,0.77,0.86,48417
2011-04-13,0.86,1.0,0.86,0.92,43397
2011-04-14,0.92,1.0,0.91,1.0,31111
2011-04-15,1.0,1.09,0.91,0.99,50304
2011-04-18,1.11,1.2,1.11,1.16,27478
2011-04-19,1.16,1.2,1.1400000000000001,1.2,12556
2011-04-20,1.18,1.2,1.13,1.1400000000000001,21344
2011-04-21,1.1400000000000001,1.21,1.1400000000000001,1.21,39295
2011-04-22,1.21,1.41,1.19,1.41,39415
2011-04-25,1.63,1.7,1.52,1.56,13471
2011-04-26,1.56,1.8,1.53,1.8,24054
2011-04-27,1.78,1.95,1.72,1.9,33055
2011-04-28,1.8900000000000001,2.65,1.6600000000000001,2.21,100238
2011-04-29,2.21,2.95,2.21,2.88,57577
2011-05-02,3.03,3.49,3.03,3.2,18333
2011-05-03,3.2,3.49,3.11,3.41,16919
2011-05-04,3.41,3.58,3.25,3.41,17278
2011-05-05,3.4,3.45,3.33,3.33,15350
2011-05-06,3.33,3.61,3.29,3.45,23014
2011-05-09,3.87,3.9,3.69,3.8,11520
2011-05-10,3.8,5.99,3.8,5.8100000000000005,56217
2011-05-11,5.75,6.07,4.6,5.5,52569
2011-05-12,5.49,6.49,5.22,6.3,31722
2011-05-13,6.3,8.45,6.3,8.2,64003
2011-05-16,6.99,8.5,6.75,8.04,44141
2011-05-17,7.9,8.39,6.98,7.19,35345
2011-05-18,7.19,7.5,6.6,6.88,25403
2011-05-19,6.7,7.34,6.61,6.8100000000000005,24436
2011-05-20,6.8100000000000005,7.11,5.58,5.59,44460
2011-05-23,6.6899999999999995,7.45,6.6899999999999995,7.15,35279
2011-05-24,7.15,7.51,6.96,7.42,29282
2011-05-25,7.42,9.33,7.22,8.4,64049
2011-05-26,8.25,8.99,8.01,8.8,28644
2011-05-27,8.7,8.83,8.5,8.5,14431
2011-05-30,8.43,9.0,8.25,8.8,17680
2011-05-31,8.8,9.5,8.1,8.74,45794
2011-06-01,8.74,9.7,8.3,9.57,43479
2011-06-02,9.57,10.89,9.5,10.6,41047
2011-06-03,10.6,14.5,10.57,14.29,72980
2011-06-06,16.7,19.23,16.45,18.55,55092
2011-06-07,18.26,24.32,18.26,23.92,53715
2011-06-08,23.92,31.91,22.21,29.6,104925
2011-06-09,29.6,31.5,26.15,28.92,62933
2011-06-10,28.92,29.4,20.01,23.95,92208
2011-06-13,18.55,24.5,16.0,19.84,73421
2011-06-14,19.8,20.5,18.0,19.28,36155
2011-06-15,19.28,20.0,19.02,19.49,27711
2011-06-16,19.49,19.89,17.0,17.0,49202
2011-06-17,17.0,18.34,13.0,15.68,108623
