t,S_mean,S_sd,I_mean,I_sd,R_mean,R_sd
0,0.9899999999999985,1.4505609600556643e-15,0.010000000000000007,6.973850769498386e-18,0.0,0.0
1,0.9742399999999993,0.005119027685453997,0.024879999999999996,0.005433305447037567,0.0008800000000000004,0.001342995295463228
2,0.9465599999999997,0.011554281204013247,0.05019999999999997,0.011701679064531418,0.0032400000000000024,0.0025390684683302047
3,0.9013800000000006,0.021764014409853788,0.09085999999999997,0.0205505142603205,0.007760000000000006,0.0036656196852329994
4,0.8293000000000003,0.03817384476631119,0.15434,0.035298501985555175,0.016360000000000013,0.006741279439753889
5,0.7230999999999999,0.05762250892970156,0.24564,0.0517471552919393,0.03125999999999998,0.010474230040890589
6,0.58056,0.0799591208687352,0.36449999999999994,0.06962257557935522,0.05493999999999999,0.015581535303821718
7,0.4114600000000002,0.09083489517700884,0.5002200000000002,0.07379463449877696,0.08832,0.021913917905746517
8,0.25148,0.08306289207825623,0.6131199999999999,0.06128741364021712,0.13539999999999996,0.028246390669580877
9,0.13077999999999998,0.05970763448807546,0.6765400000000003,0.03649586111859642,0.19268000000000005,0.032623001119152145
10,0.05943999999999996,0.03249127932727845,0.6834200000000004,0.022522348048464227,0.2571399999999999,0.03597558655926027
11,0.02405999999999999,0.014695440095347925,0.65256,0.02934032974414142,0.32337999999999995,0.03739572168042756
12,0.009180000000000006,0.005728503956161466,0.6064600000000001,0.033426361096619776,0.3843599999999999,0.03662243061625517
13,0.0038600000000000023,0.003051808538151658,0.5552200000000002,0.03370567197419927,0.44092000000000003,0.03463684031592239
14,0.0018600000000000012,0.0017810449775682844,0.5052800000000001,0.03163749214288184,0.49286,0.031905485421789156
15,0.0010800000000000007,0.0013156401829182208,0.45902,0.03079747464394515,0.5399,0.03084451066857501
16,0.0007800000000000004,0.001133333333333334,0.41538,0.029376957918846126,0.58384,0.02931084537446261
17,0.0005600000000000004,0.000988008915021325,0.37615999999999994,0.028683828548539674,0.62328,0.028596135926012636
18,0.0004600000000000003,0.0009365744589575986,0.34088000000000007,0.02711489955315671,0.6586599999999998,0.026971073168837532
19,0.0004600000000000003,0.0009365744589575986,0.30845999999999996,0.026425966721611474,0.6910799999999999,0.02629194292223878
20,0.00044000000000000023,0.0009246347900384749,0.2785800000000001,0.024800285107517233,0.7209800000000002,0.02468466992473121
21,0.00044000000000000023,0.0009246347900384749,0.25228000000000006,0.023513623817916822,0.7472799999999999,0.023378346192728678
22,0.00044000000000000023,0.0009246347900384749,0.22822000000000003,0.022803322458613683,0.7713400000000001,0.02264536432147926
23,0.00044000000000000023,0.0009246347900384749,0.2066200000000001,0.020803447655218944,0.79294,0.020688072980255153
24,0.00044000000000000023,0.0009246347900384749,0.18796000000000007,0.01981934571691166,0.8116000000000002,0.019711043922767037
25,0.00044000000000000023,0.0009246347900384749,0.1703600000000001,0.018871987685241825,0.8291999999999998,0.01882615846167884
26,0.00044000000000000023,0.0009246347900384749,0.15504000000000007,0.017934741411432437,0.8445199999999997,0.017910258896436253
27,0.00044000000000000023,0.0009246347900384749,0.14004000000000003,0.016262940457470548,0.85952,0.016250861671016265
28,0.00044000000000000023,0.0009246347900384749,0.12662000000000004,0.01567522654613729,0.8729400000000002,0.015643645238998385
29,0.00044000000000000023,0.0009246347900384749,0.11473999999999998,0.014726201482426149,0.8848200000000007,0.014702696791041204
30,0.00044000000000000023,0.0009246347900384749,0.10441999999999997,0.013892211319784024,0.8951400000000003,0.013871721106793015
