t,S_mean,S_sd,I_mean,I_sd,R_mean,R_sd
0,0.9899999999999985,1.4505609600556643e-15,0.010000000000000007,6.973850769498386e-18,0.0,0.0
1,0.9758199999999988,0.004540235387481292,0.023140000000000004,0.004541659021400293,0.0010400000000000006,0.0012220201853215575
2,0.9501399999999995,0.010075492819488056,0.04631999999999996,0.009829742539041316,0.0035400000000000028,0.0022715633383201097
3,0.90908,0.018351054795875146,0.08303999999999999,0.017855718038395058,0.007880000000000005,0.003988062996574461
4,0.8468599999999994,0.030693341494878203,0.1374400000000001,0.028890710121302506,0.015700000000000013,0.00614554121031474
5,0.7547999999999999,0.049261208538429774,0.21665999999999996,0.04569910814062442,0.028539999999999982,0.008494109664343812
6,0.6320399999999998,0.06738160885672895,0.31964000000000004,0.06032061141613339,0.048319999999999974,0.011819244707448334
7,0.4829200000000002,0.08096360075036588,0.4396199999999999,0.0700093471392834,0.07745999999999997,0.01698687550416319
8,0.32750000000000007,0.0850636719336068,0.55228,0.07038021990257884,0.12022000000000001,0.02160414288739523
9,0.19426,0.07416969622685426,0.6310999999999999,0.05529452819660231,0.17464,0.029061940121684303
10,0.10056,0.05585629469062247,0.6657600000000001,0.037366089525994635,0.23368000000000005,0.0350511545365261
11,0.04615999999999997,0.03447344754820128,0.6589200000000003,0.025537328590029756,0.2949199999999998,0.034987351249769504
12,0.02020000000000001,0.017420526613014527,0.6212599999999998,0.026771996525843927,0.35853999999999997,0.035125006200797476
13,0.009300000000000004,0.009720851274191448,0.5741199999999999,0.029950558585708532,0.41658,0.03482051525793785
14,0.004400000000000002,0.005741924500522185,0.52594,0.030177193877215132,0.4696600000000001,0.03276121752525955
15,0.002220000000000001,0.003264687093456558,0.47857999999999995,0.0304422553220176,0.5192,0.03143053909621642
16,0.0013000000000000006,0.002057261099696203,0.43337999999999993,0.029882862221438124,0.5653199999999999,0.030257107020541865
17,0.0008200000000000003,0.001452131835849236,0.3925,0.028680581541798585,0.6066800000000003,0.02852214450690424
18,0.0006800000000000004,0.0012782563881864218,0.35444000000000003,0.02657040200347489,0.6448800000000001,0.02646029233978852
19,0.0005800000000000002,0.0010747797519266532,0.3201999999999999,0.025845695966640183,0.6792199999999999,0.025725662226067106
20,0.0005000000000000001,0.0010396191999035435,0.28875999999999996,0.022849140734899246,0.7107399999999999,0.022746126321337937
21,0.0004400000000000001,0.0009673456340716983,0.26055999999999996,0.021198589623373586,0.7389999999999998,0.02113831315001941
22,0.0004400000000000001,0.0009673456340716983,0.23510000000000011,0.021301823320262446,0.7644600000000004,0.021274264815366567
23,0.0004400000000000001,0.0009673456340716983,0.2126600000000001,0.01996169058244043,0.7869000000000003,0.01988324506571889
24,0.00040000000000000024,0.0009428090415820631,0.19141999999999995,0.018725653553617317,0.80818,0.01861268167653223
25,0.00040000000000000024,0.0009428090415820631,0.17408,0.01815960663481765,0.8255199999999999,0.018070837045227068
26,0.00040000000000000024,0.0009428090415820631,0.15794000000000005,0.016544900645629065,0.8416599999999993,0.016445944512526206
27,0.00040000000000000024,0.0009428090415820631,0.1436,0.01526863822124662,0.8560000000000002,0.015204996520615173
28,0.00040000000000000024,0.0009428090415820631,0.13066000000000005,0.014969477363129702,0.8689400000000002,0.014867645028277646
29,0.00040000000000000024,0.0009428090415820631,0.11879999999999999,0.014754557590689386,0.8808,0.014680434309486616
30,0.00040000000000000024,0.0009428090415820631,0.10742000000000002,0.013713651680870504,0.8921800000000001,0.01363031380950031
31,0.00040000000000000024,0.0009428090415820631,0.09680000000000004,0.013603326984620525,0.9028000000000006,0.013531855420122973
32,0.00040000000000000024,0.0009428090415820631,0.08762,0.01288549415412384,0.9119800000000005,0.012850327197815209
33,0.00040000000000000024,0.0009428090415820631,0.07931999999999997,0.012534300414011419,0.9202800000000002,0.012462533750194914
34,0.00040000000000000024,0.0009428090415820631,0.07129999999999995,0.012075101689347415,0.9282999999999997,0.01204494948436096
35,0.00040000000000000024,0.0009428090415820631,0.06489999999999994,0.011896438648824805,0.9347000000000001,0.01188964408061215
36,0.00040000000000000024,0.0009428090415820631,0.05876000000000001,0.012002625975303497,0.94084,0.011980388014154476
37,0.00040000000000000024,0.0009428090415820631,0.05279999999999999,0.01164456781490664,0.9468,0.011616776443983696
38,0.00040000000000000024,0.0009428090415820631,0.04739999999999998,0.010762824157180297,0.9522000000000002,0.010725218087773455
39,0.00040000000000000024,0.0009428090415820631,0.042919999999999986,0.010080163538836907,0.9566799999999996,0.010027114754655517
40,0.00040000000000000024,0.0009428090415820631,0.03867999999999998,0.009514348547474401,0.9609199999999994,0.009417027346270382
41,0.00040000000000000024,0.0009428090415820631,0.03443999999999998,0.009417713806085495,0.9651599999999996,0.009381606762945548
42,0.00040000000000000024,0.0009428090415820631,0.031059999999999994,0.008832698662162413,0.9685399999999995,0.008761047859472047
43,0.00040000000000000024,0.0009428090415820631,0.027839999999999986,0.008158431221748455,0.9717599999999994,0.008106762359881788
44,0.00040000000000000024,0.0009428090415820631,0.025119999999999996,0.008021788510618497,0.9744799999999999,0.00794994441248593
45,0.00040000000000000024,0.0009428090415820631,0.022680000000000002,0.007276473782476695,0.9769199999999993,0.007182582749227121
46,0.00040000000000000024,0.0009428090415820631,0.020480000000000012,0.006969602107391319,0.9791199999999997,0.006912556281393622
47,0.00040000000000000024,0.0009428090415820631,0.018780000000000012,0.0065683354286326075,0.9808199999999995,0.0064953440978515525
48,0.00040000000000000024,0.0009428090415820631,0.016960000000000013,0.006295613351751157,0.982639999999999,0.006266021888170385
49,0.00040000000000000024,0.0009428090415820631,0.01536000000000001,0.005880149795384604,0.9842399999999997,0.005834623234008201
50,0.00040000000000000024,0.0009428090415820631,0.01366000000000001,0.005519881421651274,0.9859399999999989,0.005471357927951491
51,0.00040000000000000024,0.0009428090415820631,0.012260000000000009,0.005098266689015322,0.9873400000000002,0.005053691520047305
52,0.00040000000000000024,0.0009428090415820631,0.011120000000000008,0.0050156925461168084,0.98848,0.005006016582094197
53,0.00040000000000000024,0.0009428090415820631,0.010260000000000007,0.004719655868297129,0.9893399999999999,0.004654139028973042
54,0.00040000000000000024,0.0009428090415820631,0.009400000000000007,0.004579268169663901,0.9901999999999999,0.004561587531559692
55,0.00040000000000000024,0.0009428090415820631,0.008560000000000007,0.004207544930649505,0.9910399999999998,0.004201779324875298
56,0.00040000000000000024,0.0009428090415820631,0.007660000000000005,0.0037610980558686036,0.9919399999999996,0.0037761077711037237
57,0.00040000000000000024,0.0009428090415820631,0.007060000000000004,0.0035442940343628666,0.9925399999999996,0.0035941029141603317
58,0.00040000000000000024,0.0009428090415820631,0.006480000000000005,0.0032921087160025257,0.9931199999999994,0.003391254349146652
59,0.00040404040404040426,0.000946736520457082,0.005919191919191923,0.003154772114661254,0.9936767676767674,0.003241403962723068
60,0.0004081632653061227,0.0009507103659231682,0.0054897959183673505,0.002947110756926419,0.9941020408163264,0.0030846804573715692
61,0.0004166666666666669,0.0009588004201156957,0.005125000000000004,0.0027956733488882796,0.9944583333333331,0.0029661836784048113
62,0.0004347826086956524,0.0009755736303660772,0.004826086956521742,0.002501027022680812,0.9947391304347822,0.0026802885084062002
63,0.0004395604395604398,0.000979895586374059,0.004351648351648355,0.00228217063522928,0.995208791208791,0.002401464754484849
64,0.0004444444444444447,0.00098427080304804,0.004044444444444448,0.0022027108482841236,0.995511111111111,0.0023666429286144032
65,0.000459770114942529,0.0009977252931001829,0.0037931034482758647,0.0021138410483161015,0.9957471264367818,0.002173938611938943
66,0.0004186046511627909,0.0009262843710103894,0.003534883720930235,0.002140355519773756,0.9960465116279071,0.002274704773315774
67,0.00040963855421686764,0.0009244133878661515,0.0032289156626506047,0.0021145564097166183,0.9963614457831326,0.00229834677196889
68,0.00043037974683544325,0.0009430385192638317,0.003139240506329116,0.002116686920245458,0.9964303797468353,0.002302081245106639
69,0.00045333333333333353,0.0009627288542714645,0.0030133333333333353,0.0019277022685145215,0.996533333333333,0.0020881475906555005
70,0.00047887323943661994,0.0009835671947352432,0.0029859154929577484,0.0017195760087589601,0.9965352112676057,0.0018809646910599065
71,0.0004705882352941179,0.0009845157645288333,0.002941176470588237,0.0017093452787035623,0.9965882352941174,0.0019257508256048674
72,0.0004923076923076925,0.0010019212313581115,0.00273846153846154,0.001752470783252561,0.9967692307692306,0.001926535351748955
73,0.000440677966101695,0.0009148428627210543,0.002644067796610171,0.0016791080541148432,0.9969152542372879,0.0018688751512074607
74,0.0004230769230769231,0.0009149339169569516,0.0025769230769230786,0.0016959716267298517,0.9969999999999998,0.0019199673199833196
75,0.00047826086956521746,0.0009600724610334278,0.0025217391304347843,0.001362010449213997,0.9969999999999998,0.0015634719199411448
76,0.0005116279069767442,0.000984936377526024,0.0023720930232558153,0.0013976724838434165,0.9971162790697672,0.0016505309726552709
77,0.0005789473684210527,0.0010301293266320897,0.002421052631578949,0.0012440469911036195,0.9969999999999997,0.0015245734893157255
78,0.0006111111111111112,0.0010495652917219117,0.0022222222222222235,0.001244671181158441,0.9971666666666663,0.0016124515496597116
79,0.0006666666666666668,0.0010801234497346435,0.002303030303030304,0.0012370541743606178,0.997030303030303,0.0015100672270806467
80,0.0006451612903225806,0.0010816156771784884,0.0022580645161290333,0.0009989241524588296,0.9970967741935485,0.0013504280484270524
81,0.0006666666666666666,0.0010933445471810683,0.0020666666666666676,0.000980265035707122,0.997266666666667,0.0011121068335350724
82,0.0005185185185185185,0.0010513862779269593,0.0022222222222222235,0.0008473185457363231,0.9972592592592595,0.0012585887271247852
83,0.0005384615384615384,0.0010669871313476742,0.0020769230769230778,0.0010553891006856925,0.9973846153846156,0.001358732440973516
84,0.0005217391304347827,0.0010816471117274342,0.0020869565217391316,0.0009493080483968249,0.9973913043478262,0.0009409439377939302
85,0.00028571428571428574,0.0007171371656006364,0.0022857142857142868,0.0007171371656006362,0.9974285714285716,0.0009258200997725526
86,0.00028571428571428574,0.0007171371656006364,0.0021904761904761915,0.0008728715609439693,0.9975238095238097,0.001077916862241594
87,0.00030000000000000003,0.0007326950970650468,0.002000000000000001,0.0011239029738980327,0.9977000000000003,0.0013416407864998748
88,0.00035294117647058826,0.000785905247993376,0.00211764705882353,0.0008574929257125441,0.9975294117647058,0.001124591429076775
89,0.000375,0.0008062257748298552,0.0016250000000000006,0.0010878112581387148,0.9979999999999999,0.001460593486680444
90,0.0005,0.0009045340337332908,0.0020000000000000005,0.0008528028654224417,0.9974999999999997,0.0009045340337332915
91,0.00036363636363636367,0.0008090398349558906,0.0020000000000000005,0.0008944271909999159,0.9976363636363637,0.0012060453783110554
92,0.0004,0.0008432740427115679,0.0022000000000000006,0.0006324555320336758,0.9974000000000001,0.0009660917830792967
93,0.0004,0.0008432740427115679,0.0020000000000000005,0.0009428090415820634,0.9975999999999999,0.0008432740427115685
94,0.00022222222222222223,0.0006666666666666668,0.002,0.001,0.9977777777777779,0.0012018504251546638
95,0.00025,0.0007071067811865474,0.0022500000000000003,0.0007071067811865476,0.9975000000000002,0.0009258200997725524
96,0.00025,0.0007071067811865474,0.002,0.0010690449676496975,0.99775,0.0012817398889233126
97,0.00028571428571428574,0.0007559289460184543,0.002285714285714286,0.0007559289460184543,0.9974285714285714,0.0009759000729485341
98,0.00028571428571428574,0.0007559289460184543,0.002,0.0011547005383792514,0.9977142857142857,0.0013801311186847098
99,0.0003333333333333333,0.0008164965809277261,0.0023333333333333335,0.0008164965809277261,0.9973333333333333,0.0010327955589886453
100,0.0003333333333333333,0.0008164965809277261,0.0023333333333333335,0.0008164965809277261,0.9973333333333333,0.0010327955589886453
101,0.0003333333333333333,0.0008164965809277261,0.002,0.0012649110640673518,0.9976666666666666,0.0015055453054181633
102,0.0004,0.000894427190999916,0.002,0.0,0.9976,0.0008944271909999166
103,0.0004,0.000894427190999916,0.002,0.0,0.9976,0.0008944271909999166
104,0.0004,0.000894427190999916,0.0016,0.0008944271909999159,0.998,0.0014142135623730963
105,0.0005,0.001,0.002,0.0,0.9975,0.001000000000000001
106,0.0005,0.001,0.002,0.0,0.9975,0.001000000000000001
107,0.0005,0.001,0.0015,0.001,0.998,0.0016329931618554536
108,0.0006666666666666666,0.0011547005383792516,0.002,0.0,0.9973333333333333,0.0011547005383792527
109,0.0006666666666666666,0.0011547005383792516,0.002,0.0,0.9973333333333333,0.0011547005383792527
110,0.0006666666666666666,0.0011547005383792516,0.002,0.0,0.9973333333333333,0.0011547005383792527
111,0.0006666666666666666,0.0011547005383792516,0.002,0.0,0.9973333333333333,0.0011547005383792527
112,0.0006666666666666666,0.0011547005383792516,0.002,0.0,0.9973333333333333,0.0011547005383792527
113,0.0006666666666666666,0.0011547005383792516,0.002,0.0,0.9973333333333333,0.0011547005383792527
114,0.0006666666666666666,0.0011547005383792516,0.002,0.0,0.9973333333333333,0.0011547005383792527
115,0.0006666666666666666,0.0011547005383792516,0.002,0.0,0.9973333333333333,0.0011547005383792527
116,0.0006666666666666666,0.0011547005383792516,0.002,0.0,0.9973333333333333,0.0011547005383792527
117,0.0006666666666666666,0.0011547005383792516,0.002,0.0,0.9973333333333333,0.0011547005383792527
118,0.0006666666666666666,0.0011547005383792516,0.0013333333333333333,0.0011547005383792516,0.9979999999999999,0.0020000000000000018
119,0.001,0.001414213562373095,0.002,0.0,0.997,0.0014142135623730963
120,0.001,0.001414213562373095,0.002,0.0,0.997,0.0014142135623730963
121,0.001,0.001414213562373095,0.002,0.0,0.997,0.0014142135623730963
122,0.001,0.001414213562373095,0.002,0.0,0.997,0.0014142135623730963
123,0.001,0.001414213562373095,0.002,0.0,0.997,0.0014142135623730963
124,0.001,0.001414213562373095,0.001,0.001414213562373095,0.998,0.0028284271247461927
125,0.002,nan,0.002,nan,0.996,nan
126,0.002,nan,0.002,nan,0.996,nan
127,0.002,nan,0.002,nan,0.996,nan
128,0.002,nan,0.002,nan,0.996,nan
129,0.002,nan,0.002,nan,0.996,nan
130,0.002,nan,0.002,nan,0.996,nan
131,0.002,nan,0.002,nan,0.996,nan
132,0.002,nan,0.002,nan,0.996,nan
133,0.002,nan,0.002,nan,0.996,nan
134,0.002,nan,0.002,nan,0.996,nan
135,0.002,nan,0.002,nan,0.996,nan
136,0.002,nan,0.002,nan,0.996,nan
137,0.002,nan,0.002,nan,0.996,nan
138,0.002,nan,0.002,nan,0.996,nan
139,0.002,nan,0.002,nan,0.996,nan
140,0.002,nan,0.002,nan,0.996,nan
141,0.002,nan,0.002,nan,0.996,nan
142,0.002,nan,0.002,nan,0.996,nan
143,0.002,nan,0.002,nan,0.996,nan
144,0.002,nan,0.002,nan,0.996,nan
145,0.002,nan,0.002,nan,0.996,nan
146,0.002,nan,0.0,nan,0.998,nan
