t,S_mean,S_sd,I_mean,I_sd,R_mean,R_sd
0,0.9899999999999985,1.4505609600556643e-15,0.010000000000000007,6.973850769498386e-18,0.0,0.0
1,0.9735799999999994,0.005418225882811805,0.025320000000000006,0.005586563968102126,0.0011000000000000007,0.0015406937962286241
2,0.9410999999999998,0.014174596710989388,0.055379999999999985,0.01404090704716297,0.0035200000000000027,0.0023973048840459795
3,0.8780800000000003,0.03196073348420662,0.11319999999999997,0.030506829836393464,0.008720000000000007,0.003964692658805708
4,0.76862,0.05744154340798052,0.21262000000000011,0.05370754701213419,0.018760000000000013,0.007008104975921475
5,0.59552,0.08766701002352394,0.3661,0.08015660177478087,0.03837999999999998,0.011037841246998407
6,0.38628,0.09913281367677784,0.5397000000000001,0.0839135558088492,0.07401999999999995,0.01924954676102922
7,0.20028,0.07667431845873242,0.6744000000000001,0.056254831442339774,0.12532,0.0270461184877336
8,0.08551999999999996,0.04096820151475453,0.72376,0.025255510449816856,0.19072,0.030793571413592815
9,0.033559999999999986,0.01868739109288897,0.7068799999999998,0.023239325778220462,0.2595600000000002,0.03274459474246833
10,0.01342000000000001,0.008505708124963535,0.66102,0.029009918192496733,0.3255600000000001,0.03301861121956354
11,0.006440000000000005,0.004753138250916253,0.60294,0.029557620494433057,0.3906199999999999,0.03093256921731265
12,0.0038600000000000023,0.003143118184095521,0.5484800000000001,0.03202034706655481,0.44766000000000006,0.03266858992483097
13,0.0024800000000000017,0.002346198300367312,0.49785999999999964,0.030841733499473174,0.49966000000000016,0.031332759504739106
14,0.0017000000000000012,0.001872178011047696,0.4508799999999999,0.02991613868024003,0.54742,0.030111301948778375
15,0.001420000000000001,0.0016154556538936532,0.4089399999999999,0.028397545775306114,0.5896399999999999,0.028639705432715736
16,0.001360000000000001,0.0016050425589876469,0.3709600000000002,0.02862432390803177,0.62768,0.028737361736874193
17,0.0013000000000000008,0.0015666989036012796,0.33662,0.025924046011688875,0.6620800000000001,0.02603792106396616
18,0.0012400000000000009,0.001551278391026139,0.30465999999999993,0.024554297696198435,0.6940999999999999,0.024756388829528162
19,0.0011800000000000007,0.0015333333333333332,0.27531999999999995,0.02318344933853293,0.7234999999999998,0.023357346950491978
20,0.0011800000000000007,0.0015333333333333332,0.24940000000000004,0.021655708184441742,0.7494200000000001,0.02174469864569109
21,0.0011400000000000008,0.0015375436267112566,0.2254000000000001,0.02035741246878499,0.77346,0.02047487743701062
22,0.0011400000000000008,0.0015375436267112566,0.20470000000000002,0.01986291402426526,0.7941600000000009,0.01999329180429568
23,0.0011200000000000008,0.0015392507688134936,0.18466000000000005,0.019193970012701515,0.8142199999999999,0.019321616094024
24,0.0011200000000000008,0.0015392507688134936,0.16568000000000005,0.017980281005882667,0.8331999999999999,0.0180392389366664
25,0.0011200000000000008,0.0015392507688134936,0.15058000000000005,0.01707806201008188,0.8482999999999998,0.01714907895750992
26,0.0010800000000000004,0.0015418734505055014,0.13663999999999998,0.016413544542372444,0.8622799999999998,0.01652428882621342
27,0.0010800000000000004,0.0015418734505055014,0.12382000000000003,0.01583780160236766,0.8750999999999999,0.016021135030851223
28,0.0010800000000000004,0.0015418734505055014,0.11124,0.014127214227093102,0.8876799999999999,0.014376524073796311
29,0.0010800000000000004,0.0015418734505055014,0.09999999999999996,0.012387677161378787,0.8989200000000003,0.012650452141877763
30,0.0010800000000000004,0.0015418734505055014,0.09127999999999999,0.011029876781640939,0.9076400000000002,0.011203823301251088
31,0.0010800000000000004,0.0015418734505055014,0.08346000000000003,0.009993351325109649,0.91546,0.010237009506509393
32,0.0010800000000000004,0.0015418734505055014,0.07509999999999999,0.009683371146851536,0.9238200000000001,0.009961927524329808
33,0.0010800000000000004,0.0015418734505055014,0.06811999999999997,0.009470080477082768,0.9307999999999998,0.009727603128533883
34,0.0010800000000000004,0.0015418734505055014,0.061739999999999975,0.009439461549444136,0.9371799999999999,0.009719687404043536
35,0.0010800000000000004,0.0015418734505055014,0.05599999999999995,0.009162946903676566,0.9429199999999998,0.009557566149761677
36,0.0010800000000000004,0.0015418734505055014,0.050719999999999967,0.00836790404951074,0.9481999999999995,0.008777841707988638
37,0.0010800000000000004,0.0015418734505055014,0.04613999999999999,0.007586564413221549,0.95278,0.007953882223432934
38,0.0010800000000000004,0.0015418734505055014,0.04197999999999999,0.008157514971181515,0.9569399999999999,0.008468384459478407
39,0.0010800000000000004,0.0015418734505055014,0.03831999999999999,0.007814619813419129,0.9605999999999999,0.008097885994243048
40,0.0010800000000000004,0.0015418734505055014,0.03457999999999998,0.007414400402819729,0.9643400000000001,0.007574838732156743
41,0.0010800000000000004,0.0015418734505055014,0.031359999999999985,0.0070086814852450075,0.9675599999999994,0.007144002217018674
42,0.0010800000000000004,0.0015418734505055014,0.028639999999999995,0.0070086814852450075,0.9702799999999996,0.0071124872405843274
43,0.0010800000000000004,0.0015418734505055014,0.02611999999999999,0.006719908609287162,0.9727999999999994,0.006774879327264067
44,0.0010800000000000004,0.0015418734505055014,0.02376,0.006704619242874213,0.9751599999999989,0.006716059450708774
45,0.0010800000000000004,0.0015418734505055014,0.021520000000000004,0.006618736795467602,0.9773999999999993,0.006602723649825099
46,0.0010800000000000004,0.0015418734505055014,0.019400000000000014,0.005979763854666483,0.9795199999999995,0.006004173632574351
47,0.0010800000000000004,0.0015418734505055014,0.017740000000000013,0.005795539908264182,0.9811799999999997,0.005860982094419942
48,0.0010800000000000004,0.0015418734505055014,0.01608000000000001,0.005698980947361013,0.9828399999999998,0.005707906973681518
49,0.0010800000000000004,0.0015418734505055014,0.01468000000000001,0.005469622260884902,0.9842399999999998,0.005536143864540455
50,0.0010800000000000004,0.0015418734505055014,0.01344000000000001,0.005242252580829365,0.9854799999999999,0.0053228685211011316
51,0.0010800000000000004,0.0015418734505055014,0.01254000000000001,0.004995796212615142,0.9863799999999999,0.0050747543106175455
52,0.0010800000000000004,0.0015418734505055014,0.011340000000000008,0.004807863928560744,0.9875799999999996,0.004893161585624406
53,0.001050505050505051,0.0015211014898162368,0.01034343434343435,0.004755580215596384,0.9886060606060603,0.004919387264437916
54,0.001050505050505051,0.0015211014898162368,0.009333333333333341,0.004199125273342592,0.989616161616161,0.004386219307142362
55,0.001050505050505051,0.0015211014898162368,0.008686868686868694,0.004171444385113043,0.9902626262626255,0.004385937310722647
56,0.001050505050505051,0.0015211014898162368,0.007979797979797986,0.003891329445925977,0.9909696969696962,0.0040944326198710645
57,0.001050505050505051,0.0015211014898162368,0.007272727272727278,0.003641647367237778,0.9916767676767672,0.0038619765554522663
58,0.0010612244897959188,0.0015251589508551069,0.006734693877551025,0.003474653495765043,0.9922040816326525,0.0036832280319762287
59,0.0010625000000000005,0.0015342579210879286,0.006229166666666671,0.003216664394145184,0.9927083333333329,0.003383914477787889
60,0.0010625000000000005,0.0015342579210879286,0.00554166666666667,0.0030639385271649306,0.993395833333333,0.00327182281937814
61,0.0010736842105263163,0.00153845809285513,0.005221052631578951,0.003007716838784333,0.9937052631578943,0.003181976116264749
62,0.0010322580645161295,0.0014629601684317832,0.004946236559139788,0.0029279967606519013,0.9940215053763435,0.0031137091491871332
63,0.0009890109890109894,0.0014414075335087142,0.004637362637362641,0.002919347276804959,0.994373626373626,0.003237448761150438
64,0.0010112359550561803,0.0014498775968906038,0.00417977528089888,0.002790250061100785,0.9948089887640448,0.0031293203026680613
65,0.0010344827586206901,0.001458322354562102,0.0038620689655172436,0.002455048968360696,0.9951034482758618,0.0027408812144264563
66,0.0010117647058823533,0.0014678630211090878,0.003482352941176473,0.002185513804174043,0.9955058823529409,0.0025430742991026265
67,0.0009876543209876548,0.0014873956027272462,0.0033086419753086444,0.002004008329003662,0.9957037037037035,0.002347575581554536
68,0.0009620253164556965,0.0014627252224098466,0.0031139240506329133,0.001993498032207244,0.9959240506329116,0.0023846310895610013
69,0.0009589041095890414,0.0014571505314252453,0.003150684931506851,0.0018534594746994397,0.9958904109589047,0.0022083279486451134
70,0.0009428571428571431,0.0014732957659881719,0.003057142857142859,0.0019177713082873754,0.9960000000000006,0.002206709137469483
71,0.0008615384615384619,0.0014128530872507044,0.002953846153846156,0.0018407774277357757,0.9961846153846156,0.002171493636966184
72,0.000866666666666667,0.0014434735256349661,0.0028666666666666684,0.00170210902742537,0.9962666666666667,0.0020981563066191367
73,0.0008928571428571432,0.0014731360664004766,0.0029642857142857157,0.0015251144304523601,0.9961428571428571,0.0019764851394567873
74,0.0008928571428571432,0.0014731360664004766,0.0026071428571428587,0.0014229108632220512,0.9965,0.002062654952856988
75,0.0009433962264150947,0.0014989110706368782,0.0026415094339622656,0.0012874294547161897,0.9964150943396224,0.001935835759325346
76,0.0009433962264150947,0.0014989110706368782,0.0023396226415094354,0.001343694622850558,0.9967169811320751,0.0019648581715361923
77,0.0009166666666666669,0.0014851510895748103,0.002333333333333335,0.0012604175824977627,0.9967499999999996,0.002047312717125094
78,0.0010000000000000002,0.0015249857033260462,0.0024090909090909106,0.0009230430416072799,0.9965909090909086,0.001756293425425976
79,0.0010000000000000002,0.0015249857033260462,0.002090909090909092,0.001216517748906199,0.9969090909090906,0.0019507682662870671
80,0.0010000000000000002,0.0015245734893157244,0.002157894736842106,0.0011746492470031487,0.9968421052631576,0.0017167901505579057
81,0.0008823529411764707,0.0013203467378008666,0.0022352941176470597,0.001074746581247758,0.9968823529411764,0.001571810495986753
82,0.0008125000000000001,0.001229673442094912,0.002187500000000001,0.0011760376338064325,0.997,0.001759765380256241
83,0.0008965517241379311,0.0012633523314184735,0.002206896551724139,0.0008185051856379751,0.9968965517241378,0.0015662700822155018
84,0.0009285714285714287,0.00127449543912037,0.002214285714285715,0.0008325393042503717,0.9968571428571427,0.0015803020272576068
85,0.0009629629629629631,0.0012854655391809039,0.0019259259259259268,0.0008738036184021917,0.9971111111111112,0.001502135232397623
