t,S_mean,S_sd,I_mean,I_sd,R_mean,R_sd
0,0.9899999999999985,1.4505609600556643e-15,0.010000000000000007,6.973850769498386e-18,0.0,0.0
1,0.9753199999999996,0.004638181461815323,0.023779999999999996,0.004721710013813371,0.0009000000000000005,0.0014319584667528077
2,0.9487199999999995,0.011425719701929958,0.04837999999999997,0.011168841940999532,0.002900000000000002,0.0021904291355759036
3,0.9090200000000006,0.01988755257629123,0.08385999999999993,0.019355796772204146,0.007120000000000005,0.0037746630058961292
4,0.85214,0.03425543383865906,0.13188000000000008,0.0318085434175071,0.01598000000000001,0.006126577306698211
5,0.7709999999999997,0.054349783715291734,0.20042000000000004,0.049524849389682206,0.028579999999999987,0.008730742155501939
6,0.6648399999999998,0.07768425083813853,0.28708000000000006,0.06820493183980705,0.048079999999999956,0.013697806356855066
7,0.5344400000000002,0.09538082309427517,0.38934,0.08015543233825972,0.07621999999999997,0.020427541321569872
8,0.3914,0.10268181706395516,0.49540000000000023,0.08250252521387855,0.11320000000000001,0.026929012554709784
9,0.25746,0.09792095554759224,0.5830599999999998,0.07378125189581111,0.15948,0.03328920715684459
10,0.15190000000000003,0.08260964553460773,0.6328400000000002,0.0557789142304444,0.21525999999999995,0.03962618764749832
11,0.08005999999999995,0.05842751185369904,0.6437800000000001,0.0359729359548553,0.2761599999999999,0.04394917174384173
12,0.03883999999999998,0.03663985796805429,0.62364,0.03120396245234367,0.3375199999999999,0.047075370471728675
13,0.01776000000000001,0.01982810982907699,0.58442,0.033986681883563526,0.39781999999999995,0.045220979309353405
14,0.008040000000000004,0.010613427744364618,0.53716,0.039060874531837084,0.45480000000000037,0.04436396754305926
15,0.003780000000000002,0.005309758502374223,0.49154000000000003,0.04187413077644512,0.5046799999999999,0.04393311721103782
16,0.0016600000000000005,0.0027568830298734183,0.4465199999999999,0.039898477224682205,0.55182,0.04044209727898928
17,0.0009400000000000003,0.0016926460070110663,0.4044000000000001,0.03829391913116549,0.59466,0.03860502400967883
18,0.00036,0.0011504939650586465,0.36654,0.03500401708548908,0.6331,0.03498267969707124
19,0.00028000000000000003,0.0008537498983243795,0.33292,0.032473043988184826,0.6668000000000001,0.03246878843169578
20,0.00020000000000000004,0.0007247430753394784,0.3013199999999999,0.03097241522791699,0.6984800000000003,0.030923979777068226
21,0.00014000000000000001,0.0005863773391242059,0.27269999999999994,0.030079188415872787,0.7271599999999998,0.02999013979374697
22,0.00014000000000000001,0.0005863773391242059,0.24626000000000015,0.029165712538506368,0.7536000000000003,0.02908156415561885
23,0.00014000000000000001,0.0005863773391242059,0.22322000000000003,0.027509256477033183,0.7766400000000001,0.02741212590195527
24,0.00014000000000000001,0.0005863773391242059,0.20228000000000015,0.02525509449556264,0.79758,0.025144905301596628
25,0.00012,0.0005555959581268293,0.18286000000000008,0.02436797865721291,0.8170200000000001,0.024238703502348184
26,0.00012,0.0005555959581268293,0.16634000000000004,0.02237613266700288,0.8335399999999998,0.022249013143476385
27,0.00012,0.0005555959581268293,0.15039999999999998,0.02043170441873475,0.8494799999999995,0.020315928964656525
28,0.0001,0.0005222329678670947,0.13644000000000003,0.019879597174952607,0.8634599999999999,0.019784403611497275
29,0.0001,0.0005222329678670947,0.12412000000000001,0.01934027043776949,0.87578,0.019265072808142488
30,0.0001,0.0005222329678670947,0.11254,0.01787917924584489,0.8873600000000001,0.0177976959126169
31,8e-05,0.0004857567250791247,0.10228000000000001,0.016220749898593692,0.8976400000000007,0.016149253352349895
32,8e-05,0.0004857567250791247,0.09307999999999997,0.015112828185272792,0.9068400000000004,0.01505056796136267
33,8e-05,0.0004857567250791247,0.08468,0.014265080625517866,0.9152400000000003,0.014209912602180784
34,8e-05,0.0004857567250791247,0.07585999999999997,0.013607054023260108,0.9240600000000002,0.013557077245274626
35,8e-05,0.0004857567250791247,0.06841999999999998,0.012352712048351769,0.9315000000000001,0.012307097402094683
36,8e-05,0.0004857567250791247,0.06179999999999996,0.011290471534650246,0.93812,0.011216222018292766
37,8e-05,0.0004857567250791247,0.05611999999999998,0.011183754451719853,0.9437999999999996,0.01111373706343419
38,8e-05,0.0004857567250791247,0.050879999999999995,0.010645129772754669,0.94904,0.010573379953277154
39,8e-05,0.0004857567250791247,0.04621999999999997,0.010284419912143461,0.9536999999999994,0.010219312277954088
40,8e-05,0.0004857567250791247,0.041999999999999975,0.009410932821227477,0.9579199999999999,0.009363242121738764
41,8e-05,0.0004857567250791247,0.03751999999999997,0.009150238722944267,0.9623999999999999,0.009101004495564374
42,8e-05,0.0004857567250791247,0.03341999999999995,0.00855780109583996,0.9664999999999992,0.008506088134597214
43,8e-05,0.0004857567250791247,0.030519999999999988,0.008353889797422203,0.9693999999999994,0.008304799634530445
44,8e-05,0.0004857567250791247,0.027839999999999986,0.007562159918056654,0.9720799999999998,0.007525955088890718
45,8e-05,0.0004857567250791247,0.02492,0.0070060291495571475,0.9749999999999993,0.006994947671662241
46,8e-05,0.0004857567250791247,0.02253999999999999,0.006456411737587106,0.9773799999999992,0.006430325878918656
47,8e-05,0.0004857567250791247,0.020940000000000007,0.006224454866399014,0.9789799999999994,0.006218220213715712
48,8e-05,0.0004857567250791247,0.019000000000000013,0.006120011883529759,0.9809199999999996,0.006106264377380391
49,8e-05,0.0004857567250791247,0.01734000000000001,0.006050661538253899,0.9825799999999996,0.006058936133572223
50,8e-05,0.0004857567250791247,0.015560000000000011,0.005625195843953196,0.9843599999999998,0.0056524241693187765
51,8e-05,0.0004857567250791247,0.014080000000000011,0.005511567266882781,0.9858399999999999,0.005495121803596686
52,8e-05,0.0004857567250791247,0.012720000000000009,0.005017303392593809,0.9871999999999999,0.004988876515698593
53,8e-05,0.0004857567250791247,0.011400000000000007,0.0045615875315596875,0.9885199999999993,0.004553786303393007
54,8e-05,0.0004857567250791247,0.010280000000000006,0.004254718117881166,0.9896399999999995,0.004239115592915702
