t,S_mean,S_sd,I_mean,I_sd,R_mean,R_sd
0,0.9899999999999985,1.4505609600556643e-15,0.010000000000000007,6.973850769498386e-18,0.0,0.0
1,0.9736999999999995,0.005000000000000005,0.025419999999999998,0.005197474134013306,0.0008800000000000005,0.001249484742288644
2,0.9447000000000001,0.012408452642037864,0.05191999999999997,0.012419990403223412,0.0033800000000000024,0.0021963238340095463
3,0.8902200000000002,0.027045632967750324,0.10170000000000001,0.026600486059203104,0.008080000000000006,0.0036505984012033823
4,0.7970400000000001,0.04782331116630352,0.18506000000000003,0.04438441349861642,0.017900000000000013,0.00654664691720776
5,0.6517599999999999,0.07225783240199186,0.31310000000000004,0.06538919998552876,0.03513999999999998,0.010297611765880867
6,0.4639,0.08825141999601553,0.4711600000000001,0.07604208297935022,0.06493999999999997,0.01612941349826396
7,0.27144000000000007,0.08360710423634993,0.6182,0.06633280036332255,0.11036000000000001,0.023371190069239628
8,0.12919999999999995,0.05675394348422054,0.70026,0.036598454457625225,0.17054000000000014,0.030530468305440296
9,0.05245999999999996,0.0292434642616124,0.7100600000000001,0.02079909671698327,0.23748000000000008,0.03321995262677616
10,0.02104000000000001,0.013304453571961715,0.6753399999999998,0.028252905455309653,0.30361999999999983,0.035011911393037935
11,0.008720000000000007,0.006385083627431433,0.62204,0.030147087233875026,0.3692399999999999,0.03316293415878941
12,0.004460000000000003,0.0037696823540591634,0.5669399999999998,0.031895606232986005,0.4286000000000001,0.03330726253197247
13,0.0026000000000000016,0.002386832565759419,0.5133999999999999,0.03177382189123238,0.48400000000000004,0.03257315000134469
14,0.0016800000000000012,0.001943026900316498,0.4644,0.029697464436200503,0.5339199999999998,0.030001912396958083
15,0.0012200000000000006,0.001654989395431253,0.4209000000000001,0.02934348997717218,0.5778799999999996,0.029615475070245995
16,0.0010200000000000007,0.0014353403847875321,0.38014,0.026330080351437045,0.6188400000000002,0.02643563557554138
17,0.0009200000000000006,0.0014047538337136985,0.34332,0.024351334147177127,0.6557599999999999,0.024485460538404794
