t,S_mean,S_sd,I_mean,I_sd,R_mean,R_sd
0,0.9899999999999985,1.4505609600556643e-15,0.010000000000000007,6.973850769498386e-18,0.0,0.0
1,0.9748399999999998,0.004340832671599807,0.024040000000000002,0.004403671562721637,0.0011200000000000008,0.0013429952954632284
2,0.9520199999999995,0.007828954288570432,0.045059999999999996,0.008067668357541274,0.002920000000000002,0.00241911579138354
3,0.92542,0.01172167120156402,0.06767999999999998,0.011760986696736296,0.006900000000000005,0.0038389287226222014
4,0.8984000000000002,0.014224747250599383,0.08803999999999998,0.013342360580443996,0.01356000000000001,0.005129278209406757
5,0.8721799999999998,0.01707758883461131,0.10518000000000004,0.015403252968779096,0.022640000000000007,0.0067382820098630825
6,0.8463200000000002,0.0206534072812026,0.12064,0.018490248590251376,0.03303999999999998,0.008487566664173416
7,0.8219999999999998,0.02420952312832719,0.13346000000000008,0.020881299932444017,0.04453999999999999,0.010125894398705598
8,0.7993799999999999,0.028546888595516812,0.14262,0.023318081595468557,0.057999999999999954,0.01164803707397808
9,0.7767800000000004,0.03301042994037619,0.1527,0.025228451150927738,0.07051999999999996,0.013539676077470548
10,0.7542599999999997,0.03747878052844024,0.15996,0.027613464729067134,0.08578000000000001,0.01570921366394238
11,0.7321800000000003,0.04124339677788162,0.16764000000000004,0.029952662990158654,0.10017999999999995,0.016970788925906675
12,0.71152,0.044561268683315856,0.1727400000000001,0.031090165387761826,0.11573999999999997,0.018906799589223734
13,0.6908799999999999,0.04798932541238053,0.17608000000000007,0.032217593537279196,0.13304000000000005,0.02142684052653342
14,0.6713599999999998,0.05210857352051996,0.17896,0.03343074252023945,0.14968,0.02452740376300629
15,0.6521199999999999,0.05543424168792383,0.18156000000000003,0.03423930047430433,0.16632000000000013,0.027115495588502535
16,0.6334399999999999,0.05868669079755374,0.18267999999999998,0.03595644952753626,0.18388000000000004,0.02924617906494778
17,0.61434,0.06214226428205694,0.18436000000000008,0.037238385756331774,0.20130000000000006,0.03202697726491329
18,0.5960599999999999,0.06528907282465443,0.18578000000000003,0.038257917910261174,0.2181600000000001,0.03422643552707305
19,0.5779199999999998,0.06950498565069292,0.18636000000000003,0.03888483903876557,0.23571999999999987,0.03715761678106503
20,0.56062,0.07306767030940871,0.18560000000000007,0.03927936719027798,0.25377999999999995,0.04055762330414355
21,0.5440600000000001,0.07729228534425264,0.18568000000000004,0.04033768571557978,0.27026000000000006,0.04387185655952797
22,0.5282399999999998,0.0806410076897116,0.1843,0.04145863217495461,0.28745999999999994,0.046208884536428824
23,0.5130599999999998,0.0844415786329235,0.18179999999999996,0.04289380826971169,0.3051399999999999,0.04825291533559229
24,0.49728000000000017,0.08839467052813636,0.17940000000000006,0.04349805522182352,0.32332,0.05208634633709179
25,0.4812599999999999,0.09188163444059294,0.17844000000000007,0.042657745279412414,0.34029999999999994,0.056308942182365394
26,0.46636000000000016,0.09520011034710522,0.17555999999999997,0.042963531634457736,0.35808,0.0593356621946769
27,0.45198000000000005,0.09823595383698694,0.17412000000000005,0.04408056902600698,0.37389999999999995,0.06219251635775073
28,0.43760000000000004,0.10177257275738179,0.17216000000000012,0.045553547134835254,0.3902399999999999,0.06447944155960396
29,0.42477999999999994,0.10474052402836917,0.16768000000000005,0.043931737681971735,0.4075400000000002,0.06866275658181908
30,0.4124000000000001,0.10725594801146643,0.16352,0.04275192239755855,0.4240800000000002,0.07209641132020736
31,0.40000000000000013,0.10984617343440697,0.15999999999999998,0.04264014327112209,0.44,0.07491571021063363
