t,S_mean,S_sd,I_mean,I_sd,R_mean,R_sd
0,0.9899999999999985,1.4505609600556643e-15,0.010000000000000007,6.973850769498386e-18,0.0,0.0
1,0.9740199999999996,0.004984784930975542,0.024859999999999993,0.005220433822291906,0.0011200000000000008,0.0013429952954632286
2,0.9419599999999996,0.012223441628793604,0.05459999999999999,0.012418624006798107,0.003440000000000002,0.0025279048697099005
3,0.8818400000000004,0.02800098122378839,0.10942,0.02734928581048204,0.008740000000000005,0.0041356298605453486
4,0.7776799999999998,0.05216037429375527,0.20304000000000008,0.04903058620737044,0.019280000000000016,0.00688444300982698
5,0.6163199999999999,0.07945202224225535,0.3453799999999999,0.07193301878775278,0.03829999999999996,0.010840906443893537
6,0.41448000000000024,0.09330047906596936,0.5126599999999999,0.0792571852524515,0.07285999999999997,0.017922966475244193
7,0.2276199999999999,0.0758801260894678,0.6515600000000003,0.05826070283604116,0.12081999999999994,0.024112689982285638
8,0.10272,0.04501898140638774,0.7144600000000003,0.02812074255093847,0.18282000000000007,0.027628261039754336
9,0.04242,0.02216429925840566,0.70592,0.023256010410257818,0.25166,0.03266982668698406
10,0.017800000000000014,0.010227710428344198,0.6639000000000003,0.026913066181933464,0.31829999999999997,0.031555466638087844
11,0.008100000000000007,0.005205863050543117,0.6117800000000002,0.028205443990603506,0.38012,0.02983431689592482
12,0.004460000000000003,0.003099103813111855,0.5563999999999999,0.028795341935315102,0.4391399999999999,0.029486178922925023
13,0.0026000000000000016,0.002352733205306869,0.50654,0.028582476796071763,0.4908600000000003,0.028799908810181105
14,0.0019800000000000013,0.0021554722466458716,0.4587199999999999,0.02842181549372939,0.5393000000000002,0.028560585965751294
15,0.0015400000000000008,0.0019249557255829415,0.41635999999999973,0.02815452311294176,0.5821000000000001,0.028430137658349924
16,0.0012200000000000008,0.001795505049794733,0.37728000000000006,0.025817572905040297,0.6214999999999996,0.025956256909024346
17,0.0010600000000000006,0.0015687606895285527,0.34046,0.025334696932998207,0.6584800000000003,0.02541155388218262
18,0.0009600000000000006,0.0014349180809335059,0.3084999999999999,0.023939950127792917,0.6905399999999997,0.023999755891014427
19,0.0008800000000000005,0.001342995295463228,0.2787,0.022961320132392698,0.7204200000000001,0.023006885223271052
20,0.0008800000000000005,0.001342995295463228,0.2510000000000001,0.021871063859433867,0.7481200000000006,0.02198037692345084
21,0.0008800000000000005,0.001342995295463228,0.22774,0.020621955545123513,0.7713800000000002,0.020782072693900047
22,0.0008600000000000005,0.0013105631452073406,0.20616,0.01861178078095655,0.7929800000000001,0.01875842167769942
23,0.0008400000000000004,0.001308248887450378,0.18724,0.017360770824947937,0.81192,0.017546290868224033
24,0.0008400000000000004,0.001308248887450378,0.16819999999999996,0.016041612554021287,0.83096,0.016246783675484183
25,0.0008400000000000004,0.001308248887450378,0.15278000000000003,0.016257759608099377,0.8463799999999995,0.0164253930045383
26,0.0008400000000000004,0.001308248887450378,0.13845999999999997,0.015849940254165192,0.8606999999999998,0.016048852188416996
27,0.0008400000000000004,0.001308248887450378,0.12561999999999998,0.01524134462108202,0.87354,0.015415733796509623
28,0.0008400000000000004,0.001308248887450378,0.11292000000000002,0.014537780804066033,0.8862399999999999,0.014730659293878318
29,0.0008400000000000004,0.001308248887450378,0.10246000000000001,0.01337827275167396,0.8967000000000002,0.013568754958031762
30,0.0008400000000000004,0.001308248887450378,0.09276000000000001,0.012403257962358442,0.9064000000000005,0.012511005256383389
31,0.0008400000000000004,0.001308248887450378,0.08381999999999998,0.011159432301552318,0.9153400000000004,0.011313904915830102
32,0.0008400000000000004,0.001308248887450378,0.07544,0.010594757613503428,0.9237200000000009,0.010723409679365747
33,0.0008400000000000004,0.001308248887450378,0.06801999999999997,0.010060403429868863,0.9311400000000007,0.010147418440672507
34,0.0008400000000000004,0.001308248887450378,0.06147999999999996,0.009919351559125995,0.9376800000000003,0.010029129291390838
35,0.0008400000000000004,0.001308248887450378,0.05535999999999999,0.009024679965785406,0.9438,0.009120960431441347
36,0.0008400000000000004,0.001308248887450378,0.05035999999999998,0.009040336098159003,0.9488000000000002,0.009149708832371196
37,0.0008400000000000004,0.001308248887450378,0.04549999999999998,0.008424950918539406,0.95366,0.008547218816372344
38,0.0008400000000000004,0.001308248887450378,0.04115999999999997,0.00845274445898425,0.9579999999999997,0.008589399151150088
39,0.0008400000000000004,0.001308248887450378,0.03743999999999997,0.007665111831796025,0.9617199999999997,0.007805825330540597
40,0.0008400000000000004,0.001308248887450378,0.03397999999999999,0.007154824606621407,0.9651800000000001,0.007225627790697297
41,0.0008400000000000004,0.001308248887450378,0.030599999999999995,0.007012254785139881,0.9685599999999995,0.00711850625574856
42,0.0008400000000000004,0.001308248887450378,0.027659999999999997,0.006881713434747179,0.9714999999999994,0.006988446453853956
43,0.0008400000000000004,0.001308248887450378,0.025019999999999997,0.006547387481147182,0.9741399999999993,0.0066560825072586385
44,0.0008400000000000004,0.001308248887450378,0.02244,0.006251173627181679,0.9767199999999991,0.006334258305660446
45,0.0008400000000000004,0.001308248887450378,0.02066000000000001,0.005963220606350232,0.9784999999999995,0.006079440431453871
46,0.0008400000000000004,0.001308248887450378,0.018780000000000012,0.0056846061846663985,0.9803799999999993,0.0058027858165129
47,0.0008400000000000004,0.001308248887450378,0.01684000000000001,0.005714981198657621,0.9823199999999994,0.005739953894158972
48,0.0008400000000000004,0.001308248887450378,0.015480000000000011,0.005161003739192559,0.9836800000000001,0.005224031494019257
49,0.0008400000000000004,0.001308248887450378,0.01406000000000001,0.004927391999749149,0.9850999999999998,0.00510396953855576
50,0.0008400000000000004,0.001308248887450378,0.012560000000000009,0.004557865883737848,0.9865999999999997,0.0046666666666666705
51,0.0008400000000000004,0.001308248887450378,0.011120000000000008,0.004267045437732855,0.98804,0.004494485959529082
52,0.0008484848484848488,0.0013121382795132559,0.010121212121212128,0.0039776742442438565,0.9890303030303027,0.004173420623799383
53,0.0008484848484848488,0.0013121382795132559,0.009212121212121218,0.0037232658674679116,0.989939393939394,0.0038274470145712902
54,0.0008484848484848488,0.0013121382795132559,0.00838383838383839,0.0036886673405342337,0.9907676767676766,0.003808766158424119
55,0.0008484848484848488,0.0013121382795132559,0.007575757575757581,0.003323051551526126,0.9915757575757576,0.0034318166459837607
56,0.0008571428571428575,0.001316039043070759,0.006918367346938781,0.003121833552520769,0.992224489795918,0.0032476180398692996
57,0.0008571428571428575,0.001316039043070759,0.006142857142857147,0.002788045171134906,0.9929999999999999,0.0029741151330676978
58,0.0008571428571428575,0.001316039043070759,0.005448979591836738,0.0026129039380103376,0.9936938775510205,0.0027598302774100836
59,0.0008247422680412374,0.0012829840645797732,0.00503092783505155,0.0027403376017967776,0.9941443298969074,0.002989529264511005
60,0.0008085106382978726,0.0012891323725976152,0.0047446808510638325,0.0025900395239761126,0.9944468085106383,0.0028609984770212996
61,0.0008260869565217394,0.0012975775879503606,0.004413043478260872,0.0024185736142940113,0.9947608695652173,0.002632717082321433
62,0.0007727272727272729,0.0012660670637143834,0.004318181818181821,0.0022465577988499802,0.9949090909090905,0.002571445157598564
63,0.0007816091954022991,0.001270646121635009,0.003977011494252876,0.0022097932740009485,0.9952413793103445,0.0025010022048909306
64,0.000785714285714286,0.0012807323636354867,0.0037857142857142877,0.002036246420168463,0.9954285714285712,0.0023143643343140536
65,0.0007951807228915664,0.00128555801820083,0.003662650602409641,0.0019955872565196892,0.9955421686746984,0.0023021792688311727
66,0.000814814814814815,0.001295290615181696,0.003481481481481484,0.0018915014612148145,0.9957037037037032,0.0021239376429432006
67,0.0007848101265822787,0.001257499411999143,0.0031645569620253186,0.0017717901981693872,0.9960506329113921,0.0020248376584322816
68,0.0007894736842105265,0.0012682354089961286,0.003078947368421055,0.0015812497833021144,0.9961315789473683,0.0018571814146758922
69,0.000746666666666667,0.0012202495683297774,0.0028533333333333353,0.0015827903288892144,0.9963999999999996,0.0018888005632060722
70,0.0006944444444444447,0.001170516785939392,0.0026944444444444464,0.0015801487618405323,0.9966111111111107,0.0020318281198485285
71,0.0007462686567164181,0.0011977666538324635,0.0025671641791044793,0.0014272656693197084,0.9966865671641788,0.001892640893629537
72,0.000806451612903226,0.001225931692229934,0.002516129032258066,0.0014903177731762272,0.9966774193548384,0.0019143478412566965
73,0.0008571428571428574,0.0012566705133887639,0.0023928571428571445,0.001545416347885478,0.9967499999999997,0.0019282587529120218
