t,S_mean,S_sd,I_mean,I_sd,R_mean,R_sd
0,0.9899999999999985,1.4505609600556643e-15,0.010000000000000007,6.973850769498386e-18,0.0,0.0
1,0.9745399999999994,0.00495519317423039,0.024459999999999992,0.0050440884491479996,0.0010000000000000007,0.0013483997249264836
2,0.9482599999999993,0.011743573355308628,0.048159999999999974,0.011825943061461498,0.0035800000000000025,0.00262536192791113
3,0.9022200000000007,0.02247313997202039,0.08969999999999999,0.021767133040620692,0.008080000000000006,0.004069298701151332
4,0.8265199999999999,0.03793201787142334,0.15758,0.03573221956654128,0.01590000000000001,0.006515715268068842
5,0.7103400000000001,0.06159303056467846,0.25902,0.056502432235124606,0.030639999999999987,0.00998131587851355
6,0.5537399999999999,0.08355323954451938,0.3919199999999999,0.07383843678921397,0.05433999999999997,0.014688839988304737
7,0.3718399999999999,0.08747764158788106,0.5367999999999999,0.0728085909016986,0.09136000000000001,0.01966359503491083
8,0.21206000000000014,0.07283214685948518,0.64764,0.05262052447438732,0.1403,0.026887532314055777
9,0.10125999999999996,0.048328551487592596,0.6969799999999996,0.027004668507725114,0.20176,0.032434275423111
10,0.04279999999999997,0.024657656011875903,0.6884400000000003,0.023574648256210303,0.26876,0.03655109057500503
11,0.016680000000000014,0.01129662504351354,0.6488600000000001,0.03071439632182508,0.33446000000000004,0.03697321443773298
12,0.006960000000000004,0.005397193434526594,0.5978800000000002,0.030682235837037636,0.39516000000000007,0.032918853398788195
13,0.003140000000000002,0.002957681319526969,0.5440999999999999,0.030973921908338278,0.45275999999999994,0.03176654742576749
14,0.001700000000000001,0.0019358395459011448,0.4946800000000001,0.030899275922345697,0.5036200000000002,0.03096651172613488
15,0.0010800000000000007,0.0015418734505055001,0.45025999999999994,0.030297721353130167,0.5486599999999999,0.030155228033921025
16,0.0008000000000000005,0.0013333333333333329,0.40724000000000005,0.027610245499916444,0.5919599999999998,0.027419642004898017
17,0.0006000000000000003,0.0011547005383792522,0.36755999999999994,0.02695987291280779,0.63184,0.02690601675041734
18,0.0005800000000000002,0.001147504978972936,0.33378,0.02441707466822214,0.6656400000000002,0.024290131845062197
19,0.0005600000000000002,0.001139909618958424,0.3012799999999999,0.023550538821604038,0.69816,0.023483809165663307
20,0.0005000000000000001,0.0010777829844714395,0.2723800000000001,0.02372688880838051,0.7271200000000002,0.02360674445658241
21,0.0004800000000000002,0.001068180743605735,0.24744000000000013,0.022320131783398665,0.7520800000000003,0.022161792583296397
22,0.0004600000000000001,0.001019209438137167,0.22416,0.02143664378977495,0.7753800000000005,0.02130243026871667
23,0.0004600000000000001,0.001019209438137167,0.20269999999999994,0.019811995142215013,0.7968400000000002,0.019686800171945164
24,0.0004600000000000001,0.001019209438137167,0.18284000000000017,0.019534336513695644,0.8167000000000003,0.019408162398247976
25,0.0004600000000000001,0.001019209438137167,0.16526,0.01705997738224843,0.8342799999999994,0.016934860346323934
26,0.0004600000000000001,0.001019209438137167,0.15017999999999995,0.015799488548172636,0.8493599999999998,0.015665390018906156
