t,S_mean,S_sd,I_mean,I_sd,R_mean,R_sd
0,0.9899999999999985,1.4505609600556643e-15,0.010000000000000007,6.973850769498386e-18,0.0,0.0
1,0.9740999999999993,0.004425591326123395,0.024859999999999997,0.004487963701036158,0.0010400000000000008,0.0014064785167864525
2,0.9428600000000003,0.010553394781497602,0.054099999999999974,0.010523182680984577,0.0030400000000000015,0.0023177836853600477
3,0.8826800000000002,0.024384495819344664,0.10931999999999997,0.024264901700716913,0.008000000000000005,0.003640401798225747
4,0.7730199999999996,0.046822678611152004,0.2076600000000001,0.044632782262875495,0.019320000000000014,0.006870931302938267
5,0.6043400000000001,0.07269754973431866,0.35662000000000005,0.0660741517944312,0.03903999999999997,0.011594077206169801
6,0.3958999999999999,0.0843678214305033,0.53142,0.07166549400027204,0.07267999999999997,0.019807599806665372
7,0.20534,0.06664487825767107,0.6719799999999999,0.0512915965708602,0.12267999999999998,0.02576854240693054
8,0.08879999999999999,0.03819672628629186,0.7246799999999999,0.025884311382719377,0.18651999999999994,0.03152247234317548
9,0.035519999999999975,0.01812664760884796,0.70812,0.025692541070642772,0.2563600000000001,0.03400936294135437
10,0.01494000000000001,0.008425334570583096,0.65978,0.029403353069287378,0.3252799999999999,0.03334365900676763
11,0.007120000000000004,0.004860228202648326,0.60462,0.032268688892303686,0.38826000000000005,0.03368619895446799
12,0.003520000000000002,0.0036748668635266856,0.55116,0.032700884984781034,0.44532000000000016,0.033249859117192235
13,0.0021400000000000013,0.0025624325563925777,0.5002799999999996,0.03295791010340066,0.4975800000000002,0.03310136864331453
14,0.0016200000000000008,0.0019425069712444613,0.45356000000000024,0.031405564713112455,0.5448200000000002,0.03142166144685553
15,0.0013800000000000006,0.0017452967100354611,0.41014000000000034,0.0298984881885288,0.5884800000000001,0.029728903053555075
16,0.0010600000000000006,0.001542790335788378,0.37316000000000005,0.027797507336835336,0.62578,0.02756354641386141
17,0.0009800000000000004,0.001463219088520273,0.3366199999999999,0.026115044620975764,0.6624,0.025904252605128426
18,0.0009400000000000005,0.0014057601559873646,0.3047400000000001,0.024499276427163017,0.6943200000000005,0.024304000585180282
19,0.0008600000000000005,0.0012793622148428785,0.27568,0.024289033980732365,0.7234599999999999,0.024127364070069834
20,0.0008400000000000005,0.0012769914137170505,0.2503599999999999,0.022992980922820164,0.7488000000000002,0.02281059473848135
21,0.0008400000000000005,0.0012769914137170505,0.22704000000000008,0.02326219458627446,0.7721200000000001,0.023149614391273287
